'perfect' gold bar;lingotto d'oro "perfetto".
Crystal bow (attuned);Arco di cristallo (in sintonia)
Crystal bow (inactive);Arco di cristallo (inattivo)
Crystal bow 5/10 (i);Fiocco di cristallo 5/10 (i)
Crystal bow 6/10;Fiocco di cristallo 6/10
Crystal bow 3/10 (i);Fiocco di cristallo 3/10 (i)
Crystal bow 2/10 (i);Fiocco di cristallo 2/10 (i)
Crystal bow 4/10;Fiocco di cristallo 4/10
Crystal bow 4/10 (i);Fiocco di cristallo 4/10 (i)
Crystal bow 3/10;Fiocco di cristallo 3/10
Crystal bow 2/10;Fiocco di cristallo 2/10
Crystal bow 5/10;Fiocco di cristallo 5/10
Crystal bow 1/10 (i);Fiocco di cristallo 1/10 (i)
Crystal crown;Corona di cristallo
Crystal bow 8/10 (i);Fiocco di cristallo 8/10 (i)
Crystal bow 8/10;Fiocco di cristallo 8/10
Crystal bow 7/10 (i);Fiocco di cristallo 7/10 (i)
Crystal bow 9/10 (i);Fiocco di cristallo 9/10 (i)
Crystal bow full (i);Arco di cristallo pieno (i)
Crystal bow 6/10 (i);Fiocco di cristallo 6/10 (i)
Crystal bow 9/10;Fiocco di cristallo 9/10
Crystal bow 7/10;Fiocco di cristallo 7/10
Crystal bow full;Fiocco di cristallo pieno
Crystal halberd (perfected);Alabarda di cristallo (perfezionata)
Crystal dust;Polvere di cristallo
Crystal grail;Graal di cristallo
Crystal halberd;Alabarda di cristallo
Crystal halberd (attuned);Alabarda di cristallo (in sintonia)
Crystal halberd (inactive);Alabarda di cristallo (inattiva)
Crystal halberd (basic);Alabarda di cristallo (base)
Crystal halberd 1/10;Alabarda di cristallo 1/10
Crystal halberd 1/10 (i);Alabarda di cristallo 1/10 (i)
Crystal halberd 2/10;Alabarda di cristallo 2/10
Crystal halberd 6/10;Alabarda di cristallo 6/10
Crystal halberd 3/10 (i);Alabarda di cristallo 3/10 (i)
Crystal halberd 6/10 (i);Alabarda di cristallo 6/10 (i)
Crystal halberd 7/10;Alabarda di cristallo 7/10
Crystal halberd 5/10;Alabarda di cristallo 5/10
Crystal halberd 5/10 (i);Alabarda di cristallo 5/10 (i)
Crystal halberd 3/10;Alabarda di cristallo 3/10
Crystal halberd 2/10 (i);Alabarda di cristallo 2/10 (i)
Crystal halberd 4/10;Alabarda di cristallo 4/10
Crystal halberd 4/10 (i);Alabarda di cristallo 4/10 (i)
Crystal halberd 7/10 (i);Alabarda di cristallo 7/10 (i)
Crystal halberd 9/10 (i);Alabarda di cristallo 9/10 (i)
Crystal halberd 8/10;Alabarda di cristallo 8/10
Crystal harpoon (inactive);Arpione di cristallo (inattivo)
Crystal helm;Elmo di cristallo
Crystal halberd 8/10 (i);Alabarda di cristallo 8/10 (i)
Crystal halberd full;Alabarda di cristallo piena
Crystal halberd 9/10;Alabarda di cristallo 9/10
Crystal harpoon;Arpione di cristallo
Crystal halberd full (i);Alabarda di cristallo piena (i)
Crystal legs (attuned);Gambe di cristallo (in sintonia)
Crystal helm (perfected);Elmo di cristallo (perfezionato)
Crystal key;Chiave di cristallo
Crystal legs;Gambe in cristallo
Crystal helm (basic);Elmo di cristallo (base)
Crystal legs (basic);Gambe in cristallo (base)
Crystal helm (beta);Elmo di cristallo (beta)
Crystal helm (inactive);Elmo di cristallo (inattivo)
Crystal helm (attuned);Elmo di cristallo (sintonizzato)
Crystal impling jar;Vaso di cristallo
Crystal of hefin;Cristallo di hefin
Crystal of ithell;Cristallo dell'inferno
Crystal of cadarn;Cristallo di cadarno
Crystal legs (beta);Gambe in cristallo (beta)
Crystal legs (perfected);Gambe in cristallo (perfezionate)
Crystal of iorwerth;Cristallo di iorwerth
Crystal of meilyr;Cristallo di Meilyr
Crystal of amlodd;Cristallo di amlodd
Crystal legs (inactive);Gambe di cristallo (inattive)
Crystal of crwys;Cristallo di crwys
Crystal orb;Sfera di cristallo
Crystal pendant;Ciondolo di cristallo
Crystal ore;Minerale di cristallo
Crystal pickaxe;Piccone di cristallo
Crystal sapling;Alberello di cristallo
Crystal saw;Sega di cristallo
Crystal of memories;Cristallo di ricordi
Crystal of power;Cristallo di potere
Crystal pickaxe (inactive);Piccone di cristallo (inattivo)
Crystal of trahaearn;Cristallo di trahaearn
Crystal shield;Scudo di cristallo
Crystal seedling;Piantina di cristallo
Crystal sceptre;Scettro di cristallo
Crystal seed;Seme di cristallo
Crystal shard;Frammento di cristallo
Crystal shield (inactive);Scudo di cristallo (inattivo)
Crystal shards;Frammenti di cristallo
Crystal seedling (w);Piantina di cristallo (w)
Crystal shield 1/10;Scudo di cristallo 1/10
Crystal saw seed;Seme di sega di cristallo
Crystal shield 2/10;Scudo di cristallo 2/10
Crystal shield 4/10 (i);Scudo di cristallo 4/10 (i)
Crystal shield 5/10;Scudo di cristallo 5/10
Crystal shield 3/10;Scudo di cristallo 3/10
Crystal shield 3/10 (i);Scudo di cristallo 3/10 (i)
Crystal shield 4/10;Scudo di cristallo 4/10
Crystal shield 2/10 (i);Scudo di cristallo 2/10 (i)
Crystal shield 6/10;Scudo di cristallo 6/10
Crystal shield 1/10 (i);Scudo di cristallo 1/10 (i)
Crystal shield 5/10 (i);Scudo di cristallo 5/10 (i)
Crystal shield 7/10 (i);Scudo di cristallo 7/10 (i)
Crystal shield 8/10;Scudo di cristallo 8/10
Crystal shield full (i);Scudo di cristallo pieno (i)
Crystal shield 7/10;Scudo di cristallo 7/10
Crystal singing for beginners;Canto di cristallo per principianti
Crystal shield 8/10 (i);Scudo di cristallo 8/10 (i)
Crystal shield 9/10;Scudo di cristallo 9/10
Crystal shield 6/10 (i);Scudo di cristallo 6/10 (i)
Crystal shield full;Scudo di cristallo pieno
Crystal shield 9/10 (i);Scudo di cristallo 9/10 (i)
Crystal-mine key;Chiave della miniera di cristallo
Crystal weapon seed;Seme di arma di cristallo
Crystal teleport seed;Seme di teletrasporto di cristallo
Crystal staff (basic);Bastone di cristallo (base)
Crystal tool seed;Seme di strumento di cristallo
Crystal trinket;Gingillo di cristallo
Crystal staff (perfected);Bastone di cristallo (perfezionato)
Crystal staff (attuned);Bastone di cristallo (in sintonia)
Crystal spike;Punta di cristallo
Crystal throne;Trono di cristallo
Cup of tea;Tazza di tè
Crystalline bowstring;Corda cristallina
Crystalline portal nexus;Nesso portale cristallino
Cup of hot water;Tazza di acqua calda
Cupric sulfate;Solfato rameico
Cube;Cubo
Cup of water;Tazza d'acqua
Cupric ore powder;Polvere di minerale rameico
Crystallised harpoonfish;Pesce arpione cristallizzato
Curator's medallion;Medaglione del curatore
Curry leaf;Foglia di curry
Curry tree seed;Seme dell'albero del curry
Cured yak-hide;Pelle di yak stagionata
Cursed goblin bow;Arco del goblin maledetto
Curry;Curry
Curry sapling;Alberello di curry
Cursed banana;Banana maledetta
Curry seedling;Piantina di curry
Curry seedling (w);Piantina di curry (w)
Cursed goblin hammer;Martello goblin maledetto
Curved bone;Osso curvo
Cyan crystal;Cristallo ciano
Cw armour 1;Armatura Cw 1
Cushioned basket;Cestino imbottito
Cursed goblin staff;Bastone goblin maledetto
Curtains;Tende
Cutthroat flag;Bandiera spietata
Custom bow string;Corda per arco personalizzata
Cw armour 3;Armatura Cw 3
Cw armour 2;Armatura Cw 2
Cylinder;Cilindro
Dagannoth;Dagannoth
Daeyalt ore;Minerale di Daeyalt
Cyclops head;Testa di Ciclope
Cyrisus's chest;Il petto di Ciriso
Dagannoth bones;Ossa di Dagannoth
Daffodils;Narcisi
Daconia rock;Roccia della Daconia
Daeyalt essence;Essenza di Daeyalt
Daeyalt shard;Frammento di Daeyalt
Dagon'hai history;Storia di Dagon'hai
Dagon'hai robe top;Parte superiore della vestaglia Dagon'hai
Dagon'hai robes set;Set delle vesti Dagon'hai
Damaged book;Libro danneggiato
Dagon'hai robe bottom;Fondo della veste Dagon'hai
Dagannoth ribs;Costole di Dagannoth
Dagon'hai hat;Cappello Dagon'hai
Dagannoth hide;La pelle di Dagannoth
Dagannoth-king bonemeal;Farina di ossa del re Dagannoth
Damaged armour;Armatura danneggiata
Damp egg;Uovo umido
Dark acorn;Ghianda scura
Damaged soul bearer;Portatore dell'anima danneggiato
Dareeyak teleport;Teletrasporto di Dareeyak
Damp planks;Assi umide
Damp tinderbox;Scatola esca umida
Damaged dagger;Pugnale danneggiato
Damaged monkey tail;Coda di scimmia danneggiata
Damp sticks;Bastoncini umidi
Dark altar;Altare oscuro
Dark cavalier;Cavaliere Oscuro
Dark dagger;Pugnale scuro
Dark essence fragments;Frammenti di essenza oscura
Dark dye;Tintura scura
Dark essence block;Blocco dell'essenza oscura
Dark bow tie;Papillon scuro
Dark crab;Granchio scuro
Dark bow;Arco scuro
Dark claw;Artiglio scuro
Dark beast;Bestia oscura
Dark infinity top;Parte superiore infinita scura
Dark flippers;Pinne scure
Dark fishing bait;Esca da pesca scura
Dark kebbit fur;Pelliccia di kebbit scura
Dark infinity bottoms;Fondo infinito scuro
Dark infinity hat;Cappello infinito scuro
Dark key;Chiave oscura
Dark infinity colour kit;Kit colore Dark Infinity
Dark journal;Diario oscuro
Dark manuscript;Manoscritto oscuro
Dark tuxedo jacket;Giacca da smoking scura
Dark tuxedo shoes;Scarpe da smoking scure
Dark trousers;Pantaloni scuri
Dark totem base;Base totem scura
Dark totem;Totem oscuro
Dark tuxedo cuffs;Polsini da smoking scuri
Dark relic;Reliquia oscura
Dark squirrel;Scoiattolo scuro
Dark totem middle;Totem scuro al centro
Dark totem top;Top totem scuro
Dashing kebbit fur;Pelliccia di kebbit accattivante
Dead sea slug;Lumaca del Mar Morto
Deadman teleport tablet;Tablet per il teletrasporto di Deadman
Dart;Dardo
Dartboard;Bersaglio
Dawnbringer;Portatore dell'alba
Darklight;Luce oscura
David's print;L'impronta di David
Dead orb;Sfera morta
Deadman starter pack;Pacchetto iniziale di Deadman
Death tiara;Tiara della morte
Death's coffer;Forziere della morte
Deadman's chest;Il petto dell'uomo morto
Deadman's cape;Il mantello dell'uomo morto
Decapitated head;Testa decapitata
Deadman's legs;Le gambe del morto
Death rune;Runa della morte
Death rune (nz);Runa della morte (nz)
Death talisman;Talismano della morte
Death note;Death Note
Decorative armour (broken);Armatura decorativa (rotta)
Decorative boots;Stivali decorativi
Deconstructed onyx;Onice decostruita
Decorative armour (l);Armatura decorativa (l)
Decorative full helm;Elmo completo decorativo
Decorative armour;Armatura decorativa
Decorative boots (broken);Stivali decorativi (rotti)
Decorative boots (l);Stivali decorativi (l)
Decorative blood;Sangue decorativo
Decorative emblem;Emblema decorativo
Decorative shield (l);Scudo decorativo (l)
Decorative shield (broken);Scudo decorativo (rotto)
Decorative full helm (l);Timone completo decorativo (l)
Decorative helm;Elmo decorativo
Decorative full helm (broken);Elmo completo decorativo (rotto)
Decorative helm (broken);Elmo decorativo (rotto)
Decorative pipe;Pipa decorativa
Decorative shield;Scudo decorativo
Decorative helm (l);Elmo decorativo (l)
Decorative rock;Roccia decorativa
Decorative sword;Spada decorativa
Deep blue sweets;Dolci blu intenso
Deed;Atto
Decorative sword (broken);Spada decorativa (rotta)
Defence cape(t);Mantello di difesa(t)
Defence hood;Cappa di difesa
Defence cape;Mantello di difesa
Decorative window;Finestra decorativa
Deerstalker;Cacciatore di cervi
Decorative sword (l);Spada decorativa (l)
Defensive shield;Scudo difensivo
Defender horn;Corno del difensore
Defence potion(3);Pozione di difesa(3)
Defence potion(2);Pozione di difesa(2)
Delphinium seed;Seme di Delphinium
Defence mix(2);Mix di difesa(2)
Defence potion(1);Pozione di difesa(1)
Defence mix(1);Mix di difesa(1)
Defence potion(4);Pozione di difesa(4)
Defender icon;Icona del difensore
Demonic sigil;Sigillo demoniaco
Demon lectern;Leggio demoniaco
Demonic sigil mould;Stampo per sigillo demoniaco
Demon feet;Piedi demoniaci
Demon's heart;Il cuore del demone
Dense essence block;Blocco di essenza densa
Demon;Demone
Desecrated house;Casa profanata
Demonic throne;Trono demoniaco
Demonic tome;Tomo demoniaco
Desert amulet 2;Amuleto del deserto 2
Desert boots;Stivali da deserto
Desert camo top;Top mimetico del deserto
Desert amulet 1;Amuleto del deserto 1
Desert amulet;Amuleto del deserto
Desert amulet 3;Amuleto del deserto 3
Desert amulet 4;Amuleto del deserto 4
Desert disguise;Travestimento del deserto
Desert camo legs;Gambe mimetiche del deserto
Desert devil fur;Pelliccia del diavolo del deserto
Desert painting;Pittura del deserto
Desert shirt;Camicia del deserto
Desert robes;Vesti del deserto
Desert goat horn;Corno di capra del deserto
Desert legs;Gambe del deserto
Desert lizard;Lucertola del deserto
Desert robe;Veste del deserto
Desert habitat;Habitat del deserto
Desert lizard bone;Osso di lucertola del deserto
Desert top;Cima del deserto
Dharok's armour set;Set armatura di Dharok
Dharok's greataxe;La grande ascia di Dharok
Dharok's greataxe 0;L'ascia grande di Dharok 0
Dharok's helm;L'elmo di Dharok
Dharok's greataxe 75;L'ascia grande di Dharok 75
Dharok's greataxe 100;Ascia grande di Dharok 100
Dexterous prayer scroll;Rotolo di preghiera abile
Dharok's greataxe 25;L'ascia grande di Dharok 25
Devout boots;Stivali devoti
Dharok's greataxe 50;L'ascia grande di Dharok 50
Dharok's platebody 25;Il corpo piatto di Dharok 25
Dharok's helm 100;Elmo di Dharok 100
Dharok's platebody 0;Corpo piatto di Dharok 0
Dharok's platebody 50;Il corpo piatto di Dharok 50
Dharok's helm 0;Elmo di Dharok 0
Dharok's helm 25;Elmo di Dharok 25
Dharok's helm 50;Elmo di Dharok 50
Dharok's helm 75;Elmo di Dharok 75
Dharok's platebody;Il corpo piatto di Dharok
Dharok's platebody 100;Il corpo piatto di Dharok 100
Dharok's platelegs;Le gambe piatte di Dharok
Dharok's platelegs 0;Gambe piatte di Dharok 0
Dharok's platelegs 100;Gambe piatte di Dharok 100
Diamond amulet;Amuleto di diamanti
Dharok's platebody 75;Il corpo piatto di Dharok 75
Dharok's platelegs 25;Le gambe piatte di Dharok 25
Dharok's platelegs 50;Gambe piatte di Dharok 50
Diamond;Diamante
Dharok's platelegs 75;Le gambe piatte di Dharok 75
Diamond amulet (u);Amuleto di diamanti (u)
Diamond dragon bolts;Bulloni del drago diamantato
Diamond bauble;Pallina di diamanti
Diamond bolts (e);Bulloni diamantati (e)
Diamond dragon bolts (e);Dardo del drago diamantato (e)
Diamond bracelet;Bracciale di diamanti
Diamond ring;Anello di diamanti
Diamond necklace;Collana di diamanti
Diamond bolts;Bulloni diamantati
Diamond bolt tips;Punte dei bulloni diamantati
Diango's claws;Gli artigli di Diango
Digsite pendant (5);Sospensione Digsite (5)
Digsite teleport;Teletrasporto del sito di scavo
Dinh's hammer;Il martello di Dinh
Dinh's bulwark;Il baluardo di Dinh
Diary;Diario
Digsite pendant (2);Sospensione Digsite (2)
Dining room;Sala da pranzo
Digsite pendant (4);Sospensione Digsite (4)
Digsite pendant (1);Sospensione Digsite (1)
Digsite pendant (3);Sospensione Digsite (3)
Distillator;Distillatore
Disk of returning;Disco di ritorno
Dirty blast;Esplosione sporca
Divine bastion potion(2);Pozione del Bastione Divino(2)
Display cabinet key;Chiave della vetrina
Divine bastion potion(3);Pozione del Bastione Divino(3)
Directionals;Direzionali
Directions;Indicazioni
Dirty robe;Vestaglia sporca
Divine bastion potion(1);Pozione del Bastione Divino(1)
Divine magic potion(2);Pozione magica divina(2)
Divine battlemage potion(1);Pozione del mago guerriero divino(1)
Divine bastion potion(4);Pozione del Bastione Divino(4)
Divine battlemage potion(3);Pozione del mago guerriero divino(3)
Divine battlemage potion(2);Pozione del mago guerriero divino(2)
Divine ranging potion(1);Pozione divina(1)
Divine magic potion(1);Pozione magica divina(1)
Divine magic potion(4);Pozione magica divina(4)
Divine magic potion(3);Pozione magica divina(3)
Divine battlemage potion(4);Pozione del mago guerriero divino(4)
Divine super attack potion(1);Pozione divina del super attacco(1)
Divine super attack potion(4);Pozione divina del super attacco(4)
Divine super combat potion(3);Pozione divina del super combattimento(3)
Divine ranging potion(3);Pozione divina(3)
Divine ranging potion(4);Pozione divina(4)
Divine super attack potion(2);Pozione divina del super attacco(2)
Divine super combat potion(2);Pozione divina del super combattimento(2)
Divine super attack potion(3);Pozione divina del super attacco(3)
Divine ranging potion(2);Pozione divina(2)
Divine super combat potion(1);Pozione divina del super combattimento(1)
Divine super defence potion(3);Pozione divina della super difesa(3)
Divine super strength potion(4);Pozione divina della super forza(4)
Divine super defence potion(4);Pozione divina della superdifesa(4)
Divine super strength potion(3);Pozione divina della super forza(3)
Divine super defence potion(1);Pozione divina della superdifesa(1)
Diving apparatus;Apparecchi per immersioni
Divine super defence potion(2);Pozione divina della super difesa(2)
Divine super strength potion(1);Pozione divina della super forza(1)
Divine super strength potion(2);Pozione divina della super forza(2)
Divine super combat potion(4);Pozione divina del super combattimento(4)
Doctor's hat;Cappello da dottore
Doll of iban;Bambola di iban
Diving helmet;Casco da immersione
Dodgy necklace;Collana losca
Doogle leaves;Dogle se ne va
Documents;Documenti
Dock leaf;Foglia di bacino
Door key;Chiave della porta
Door transcription;Trascrizione della porta
Dorgesh-kaan sphere;Sfera Dorgesh-kaan
Dragon arrow;Freccia del drago
Dragon arrow(p);Freccia del drago(p)
Dorgeshuun crossbow;Balestra Dorgeshuun
Dossier;Fascicolo
Dragon arrow(p+);Freccia del drago(p+)
Double eye patch;Benda sull'occhio doppio
Dragon armour set (sk);Set armatura del drago (sk)
Dragon armour set (lg);Set armatura del drago (lg)
Draconic visage;Volto draconico
Dragon 2h sword;Spada del drago 2h
Dragon axe head;Testa dell'ascia del drago
Dragon bitter;Drago amaro
Dragon bitter(3);Drago amaro(3)
Dragon arrowtips;Punte di freccia del drago
Dragon axe (or);Ascia del drago (o)
Dragon arrow(p++);Freccia del drago(p++)
Dragon bitter(1);Drago amaro(1)
Dragon battleaxe;Ascia da battaglia del drago
Dragon axe;Ascia del drago
Dragon bitter(2);Drago amaro(2)
Dragon bitter(m);Drago amaro(m)
Dragon bolts (p);Dardi del drago (p)
Dragon bolts (p++);Dardi del drago (p++)
Dragon bolts;Bulloni del drago
Dragon bitter(4);Drago amaro(4)
Dragon bitter(m2);Drago amaro(m2)
Dragon bitter(m1);Drago amaro(m1)
Dragon bolts (p+);Dardi del drago (p+)
Dragon bitter(m4);Drago amaro(m4)
Dragon bitter(m3);Drago amaro(m3)
Dragon bolts (unf);Dardi del drago (unf)
Dragon boots ornament kit;Kit di ornamenti per stivali del drago
Dragon bones;Ossa di drago
Dragon chainbody;Corpo della catena del drago
Dragon bonemeal;Farina di ossa di drago
Dragon boots;Stivali del drago
Dragon chainbody (g);Corpo della catena del drago (g)
Dragon boots (g);Stivali del drago (g)
Dragon cane;Bastone del drago
Dragon bracelet;Bracciale drago
Dragon claws;Artigli del drago
Dragon dagger(p++);Pugnale del drago(p++)
Dragon crossbow;Balestra del drago
Dragon dart;Dardo del drago
Dragon crossbow (u);Balestra del drago (u)
Dragon chainbody ornament kit;Kit di ornamenti per il corpo della catena del drago
Dragon dart tip;Punta del dardo del drago
Dragon dagger(p+);Pugnale del drago(p+)
Dragon dagger(p);Pugnale del drago(p)
Dragon dagger;Pugnale del drago
Dragon dart(p++);Dardo del drago(p++)
Dragon defender (t);Difensore del drago (t)
Dragon fire arrow;Freccia di fuoco del drago
Dragon defender (l);Difensore del drago (l)
Dragon defender ornament kit;Kit di decorazioni per il difensore del drago
Dragon fire arrow (lit);Freccia di fuoco del drago (accesa)
Dragon dart(p+);Dardo del drago(p+)
Dragon defender;Difensore del drago
Dragon dart(p);Dardo del drago(p)
Dragon defender (broken);Difensore del drago (rotto)
Dragon hasta;Drago hasta
Dragon hasta(p);Drago hasta(p)
Dragon full helm ornament kit;Kit di ornamenti per elmo completo di drago
Dragon harpoon (or);Arpione del drago (o)
Dragon gloves;Guanti del drago
Dragon harpoon;Arpione del drago
Dragon hasta(kp);Drago hasta(kp)
Dragon halberd;Alabarda del drago
Dragon full helm;Elmo completo del drago
Dragon full helm (g);Elmo completo del drago (g)
Dragon inn tankard;Boccale della locanda del drago
Dragon hunter lance;Lancia del cacciatore di draghi
Dragon impling jar;Vaso per l'implementazione del drago
Dragon hasta(p+);Drago hasta(p+)
Dragon hunter crossbow;Balestra del cacciatore di draghi
Dragon hasta(p++);Drago hasta(p++)
Dragon javelin(p);Giavellotto del drago(p)
Dragon javelin;Giavellotto del drago
Dragon javelin heads;Teste di giavellotto di drago
Dragon javelin(p+);Giavellotto del drago(p+)
Dragon kiteshield;Scudo-aquilone del drago
Dragon knife(p+);Coltello del drago(p+)
Dragon javelin(p++);Giavellotto del drago(p++)
Dragon knife(p++);Coltello del drago(p++)
Dragon kiteshield (g);Scudo-aquilone del drago (g)
Dragon knife;Coltello del drago
Dragon knife(p);Coltello del drago(p)
Dragon key;Chiave del drago
Dragon kiteshield ornament kit;Kit di decorazioni per lo scudo dell'aquilone del drago
Dragon key piece;Pezzo chiave del drago
Dragon metal slice;Fetta di metallo del drago
Dragon longsword;Spada lunga del drago
Dragon med helm;Elmo medico del drago
Dragon metal lump;Grumo di metallo del drago
Dragon limbs;Arti del drago
Dragon mace;Mazza del drago
Dragon metal shard;Frammento di metallo del drago
Dragon legs/skirt ornament kit;Kit ornamento per gambe/gonna di drago
Dragon necklace;Collana del drago
Dragon pickaxe;Piccone del drago
Dragon platebody ornament kit;Kit ornamento per corpo piatto del drago
Dragon pickaxe (or);Piccone del drago (o)
Dragon plateskirt;Gonna a piastre del drago
Dragon plateskirt (g);Gonna a piastre drago (g)
Dragon scale dust;Polvere di scaglie di drago
Dragon platebody (g);Corpo a piastre del drago (g)
Dragon platelegs (g);Gambe a piastre del drago (g)
Dragon platebody;Corpo a piastre del drago
Dragon pickaxe upgrade kit;Kit di aggiornamento del piccone del drago
Dragon platelegs;Gambe a piastre del drago
Dragon sq shield;Scudo quadrato del drago
Dragon spear(kp);Lancia del drago (kp)
Dragon spear(p+);Lancia del drago(p+)
Dragon spear;Lancia del drago
Dragon spear(p);Lancia del drago(p)
Dragon spear(p++);Lancia del drago(p++)
Dragon scimitar (or);Scimitarra del drago (o)
Dragon scimitar ornament kit;Kit ornamento per scimitarra del drago
Dragon scimitar;Scimitarra del drago
Dragon sq shield (g);Scudo quadrato del drago (g)
Dragon warhammer;Martello da guerra del drago
Dragonfire shield;Scudo del fuoco del drago
Dragonbone necklace;Collana di ossa di drago
Dragonfruit pie;Torta al frutto del drago
Dragon sword;Spada del drago
Dragon thrownaxe;Ascia lanciata dal drago
Dragonfire ward;Protezione del fuoco del drago
Dragonfruit;Frutto del drago
Dragon sq shield ornament kit;Kit ornamento scudo drago quadrato
Dragon token;Gettone del drago
Dragonstone;Pietra del Drago
Dragonstone bolt tips;Punte dei bulloni di Dragonstone
Dragonstone amulet (u);Amuleto della pietra del drago (u)
Dragonstone amulet;Amuleto della pietra del drago
Dragonfruit seedling;Piantina del frutto del drago
Dragonfruit sapling;Alberello del frutto del drago
Dragonstone bolts;Bulloni di pietra del drago
Dragonfruit tree seed;Seme dell'albero del frutto del drago
Dragonstone armour set;Set armatura della Pietra del Drago
Dragonfruit seedling (w);Piantina di frutto del drago (w)
Dragonstone full helm;Elmo completo di Dragonstone
Dragonstone gauntlets;Guanti di pietra del drago
Dragonstone dragon bolts;Dardi del drago di Dragonstone
Dragonstone dragon bolts (e);Dardi del drago di Dragonstone (e)
Dragonstone platebody;Corpo in lamiera di pietra del drago
Dragonstone boots;Stivali di pietra del drago
Dragonstone bracelet;Bracciale di pietra del drago
Dragonstone ring;Anello di pietra del drago
Dragonstone bolts (e);Bulloni di pietra del drago (e)
Dragonstone platelegs;Gambe a piastre di pietra del drago
Draynor manor teleport;Teletrasporto del maniero di Draynor
Drake's tooth;Il dente di Drake
Drake bones;Ossa di drago
Drakan's medallion;Il medaglione di Drakan
Drake's claw;L'artiglio di Drake
Draynor skull;Teschio di Draynor
Dramen branch;Ramo Dramen
Dramen staff;Personale Dramen
Drake;Drake
Drake bonemeal;Farina di ossa di Drake
Dreamy lamp;Lampada da sogno
Drift net;Rete derivante
Dried thistle;Cardo selvatico essiccato
Dream potion;Pozione da sogno
Druid's robe;Veste del druido
Dream vial (water);Fiala dei sogni (acqua)
Druid pouch;Borsa da druido
Dream vial (empty);Fiala dei sogni (vuota)
Dream log;Registro dei sogni
Dream vial (herb);Fiala dei sogni (erba)
Dual sai;Doppio sai
Drunk dragon;Drago ubriaco
Dummy;Manichino
Drunk parrot;Pappagallo ubriaco
Dummy portal;Portale fittizio
Druidic wreath;Corona druidica
Dungeon corridor;Corridoio della prigione
Druidic spell;Incantesimo druidico
Dry sticks;Bastoncini secchi
Druid's robe top;La parte superiore della vestaglia del druido
Dwarf brew;Birra nana
Dwarf;Nano
Dust rune;Runa della polvere
Dust devil;Diavolo della polvere
Dusty scroll;Rotolo polveroso
Dungeon entrance;Ingresso della prigione
Dungeon stairs;Scale della prigione
Dust battlestaff;Bastone da battaglia in polvere
Dungeon cross;Croce della prigione
Dusty key;Chiave polverosa
Dwarf remains;Resti nani
Dwarf weed;Erbaccia nana
Dwarven battleaxe;Ascia da battaglia nanica
Dwarven rock cake;Torta di roccia nanica
Dwarven stout;Nano robusto
Dwarf cannon set;Set di cannoni nani
Dwarf weed seed;Seme di erba nana
Dwarven helmet;Elmo nanico
Dwarven lore;Tradizione nanica
Dwarf weed potion (unf);Pozione d'erba nana (unf)
Dwarven stout(m);Robusto nanico(m)
Dwarven stout(m2);Robusto nanico(m2)
Dwarven stout(2);Robusto nanico(2)
Dwellberries;Dwellberry
Dwarven stout(4);Robusto nanico(4)
Dwarven stout(m3);Robusta nanica(m3)
Dwarven stout(1);Robusto nanico(1)
Dwarven stout(3);Robusto nanico(3)
Dwarven stout(m1);Robusto nanico(m1)
Dwarven stout(m4);Robusto nanico(m4)
Dynamite;Dinamite
Eagle feather;Piuma d'aquila
Earmuffs;Paraorecchie
Eagle cape;Mantello dell'Aquila
Eagle lectern;Leggio dell'Aquila
Dwellberry seed;Seme di Dwellberry
Earth battlestaff;Bastone da battaglia terrestre
Dynamite pot;Pentola di dinamite
Earth impling jar;Vaso per l'impianto della terra
Dyed orange;Tinto arancione
Earthy easter egg;Uovo di Pasqua terroso
Earth rune (nz);Runa della terra (nz)
Earthy chocolate mix;Miscela di cioccolato terroso
Earth talisman;Talismano terrestre
Easter;Pasqua
Earth orb;Sfera terrestre
Earth rune;Runa della terra
Earth rune pack;Pacchetto rune della terra
Earth tiara;Diadema terrestre
Earth warrior champion scroll;Pergamena del campione del guerriero della terra
Easter egg helm;Elmo dell'uovo di Pasqua
Easter blaster;Blaster di Pasqua
Eclectic impling jar;Vaso imbottigliato eclettico
Eathram & rada extract;Estratto di Eatram e Rada
Easter basket;Cesto di Pasqua
Easter egg;Uovo di Pasqua
Ebrill's journal;Il diario di Ebrill
Eastern discovery;Scoperta orientale
Eastern settlement;Insediamento orientale
Easter ring;Anello di Pasqua
Ecumenical key;Chiave ecumenica
Edible seaweed;Alghe commestibili
Efaritay's aid;L'aiuto di Efaritay
Edern's journal;Il diario di Edern
Ecto-token;Ecto-gettone
Eek;Eeeek!!!
Ectophial;Ectofiale
Ectoplasmator;Ectoplasmatore
Eel sushi;Sushi di anguilla
Efh salt;Efh sale
Eggshell platebody;Corpo in lamiera a guscio d'uovo
Egg;Uovo
Egg whisk;Sbattere le uova
Egniol potion (3);Pozione di Egniol (3)
Egg mould;Stampo per uova
Eggshell platelegs;Zampe a guscio d'uovo
Egg and tomato;Uovo e pomodoro
Egniol potion (1);Pozione di Egniol (1)
Egg potato;Patate all'uovo
Egniol potion (2);Pozione di Egniol (2)
Elder (-)(3);Anziano (-)(3)
Elder (+)(3);Anziano (+)(3)
Elder (+)(4);Anziano (+)(4)
Elder (-)(1);Anziano (-)(1)
Elder (-)(4);Anziano (-)(4)
