'perfect' gold bar;'perfecte' goudbaar
Broodoo shield (3);Broodoo-schild (3)
Broodoo shield (9);Broodoo-schild (9)
Brown apron;Bruin schort
Brown candy;Bruin snoep
Brown navy slacks;Bruine marineblauwe broek
Brown spice (3);Bruin specerij (3)
Brown headband;Bruine hoofdband
Brown toy horsey;Bruin speelgoedpaardje
Brown spice (1);Bruin specerij (1)
Brown rug;Bruin vloerkleed
Brown naval shirt;Bruin marinehemd
Brown spice (4);Bruin specerij (4)
Brown spice (2);Bruin specerij (2)
Bruma kindling;Bruma-aanmaakhout
Bruise blue snelm;Blauwe plek snelm
Bruma root;Bruma-wortel
Bruma torch;Bruma-fakkel
Brutal black dragon;Brutale zwarte draak
Bruma herb;Bruma-kruid
Brown tricorn hat;Bruine driekanthoed
Brulee;Brulee
Brulee supreme;Brulee oppermachtig
Brush;Borstel
Bryophyta's essence;De essentie van Bryophyta
Buchu leaf;Buchu-blad
Bucket helm (g);Emmerroer (g)
Bryophyta's staff;Bryophyta's staf
Bucket of milk;Emmer melk
Bryophyta's staff (uncharged);Bryophyta's personeel (niet in rekening gebracht)
Bucket;Emmer
Buchu seed;Buchu-zaad
Bucket of rubble;Emmer puin
Bucket helm;Emmer roer
Builder's trousers;Bouwersbroek
Bucket of slime;Emmer slijm
Bucket of water;Emmer water
Bucket of wester sand;Emmer westerzand
Bucket of sand;Emmer zand
Bucket of wax;Emmer was
Builder's shirt;Bouwersshirt
Bucket of sandworms;Emmer zandwormen
Bucket of sap;Emmer sap
Builder's boots;Bouwlaarzen
Bulging taxbag;Uitpuilende belastingzak
Bunny feet;Konijntjes voeten
Bulging sack;Uitpuilende zak
Bullet arrow;Opsommingsteken pijl
Bunny ears;Konijnenoren
Bullseye lantern;Bullseye-lantaarn
Bullseye lantern (unf);Bullseye-lantaarn (unf)
Bunny legs;Konijnenpoten
Bull roarer;Stier brulder
Bullseye lantern (empty);Bullseye lantaarn (leeg)
Bunnyman mask;Bunnyman-masker
Burning amulet(4);Brandend amulet(4)
Burning amulet(3);Brandend amulet(3)
Burnt anglerfish;Verbrande zeeduivel
Bunny paws;Konijnenpoten
Buried alive;Levend begraven
Bunny top;Konijnen topje
Burning amulet(1);Brandend amulet(1)
Burning amulet(2);Brandend amulet(2)
Burning amulet(5);Brandend amulet(5)
Burnt cake;Verbrande taart
Burnt bonemeal;Verbrand beendermeel
Burnt bird meat;Verbrand vogelvlees
Burnt cave eel;Verbrande grotpaling
Burnt bread;Verbrand brood
Burnt batta;Verbrande bata
Burnt bones;Verbrande botten
Burnt chicken;Verbrande kip
Burnt bat;Verbrande vleermuis
Burnt beast meat;Verbrand dierenvlees
Burnt crunchies;Verbrande knapperige koekjes
Burnt egg;Verbrand ei
Burnt diary;Verbrand dagboek
Burnt crab meat;Verbrand krabvlees
Burnt eel;Verbrande paling
Burnt chompy;Verbrand chompy
Burnt curry;Verbrande curry
Burnt fishcake;Verbrande viskoekjes
Burnt fish;Verbrande vis
Burnt dark crab;Verbrande donkere krab
Burnt jubbly;Jubel verbrand
Burnt manta ray;Verbrande mantarog
Burnt jogre bones;Verbrande jogre-botten
Burnt mushroom;Verbrande paddestoel
Burnt gnomebowl;Verbrande kabouterkom
Burnt karambwan;Verbrande Karambwan
Burnt jogre bonemeal;Verbrand jogre-beendermeel
Burnt meat;Verbrand vlees
Burnt lobster;Verbrande kreeft
Burnt monkfish;Verbrande zeeduivel
Burnt oomlie;Verbrande omie
Burnt pie;Verbrande taart
Burnt pitta bread;Verbrand pitabroodje
Burnt page;Verbrande pagina
Burnt rabbit;Verbrand konijn
Burnt pizza;Verbrande pizza
Burnt potato;Verbrande aardappel
Burnt onion;Verbrande ui
Burnt oomlie wrap;Verbrande oomlie-omslagdoek
Burnt rainbow fish;Verbrande regenboogvissen
Burnt spider;Verbrande spin
Burnt shrimp;Verbrande garnalen
Burnt sweetcorn;Verbrande suikermaïs
Burnt sea turtle;Verbrande zeeschildpad
Burnt shark;Verbrande haai
Burnt stew;Verbrande stoofpot
Burnt swordfish;Verbrande zwaardvis
Bush;Struik
Butterfly;Vlinder
Burnt snail;Verbrande slak
Butterfly net;Vlinder netto
Cabbage rune;Kool rune
Cabbage seed;Koolzaad
Cabbage cape;Kool cape
Cabbage;Kool
Butterfly jar;Vlinder pot
Cabbage round shield;Kool rond schild
Cabbages(1);Kool(1)
Buttons;Knoppen
Byrne's coronation speech;Byrne's kroningstoespraak
Cabbages(2);Kool(2)
Cabbages(5);Kool(5)
Cabbages(8);Kool(8)
Cabbages(6);Kool(6)
Cactus seed;Cactuszaad
Cabbages(3);Kool(3)
Cabbages(9);Kool(9)
Cabbages(4);Kool(4)
Cabbages(10);Kool(10)
Cabbages(7);Kool(7)
Cadava berries;Kadaverbessen
Cadava potion;Cadava-drankje
Cadarn lineage;Cadarn-afstamming
Cake;Taart
Cadavaberry seed;Kadaverbes zaad
Cadantine seed;Cadantine zaad
Cactus spine;Cactus wervelkolom
Cadantine;Cadantijn
Cadantine blood potion (unf);Cadantine bloeddrankje (unf)
Cadantine potion (unf);Cadantine-drankje (unf)
Cake tin;Taartvorm
Calcite;Calciet
Cake of guidance;Taart van begeleiding
Calquat seedling (w);Calquatzaailing (w)
Calquat seedling;Calquat-zaailing
Callisto cub;Callisto-welp
Calquat keg;Calquat vat
Calquat fruit;Calquat-fruit
Calquat sapling;Calquat-jong boompje
Calquat tree seed;Zaad van de Calquatboom
Camo bottoms;Camobroeken
Candle;Kaars
Camo helmet;Camo-helm
Camulet;Camulet
Camel mould (p);Kameelvorm (p)
Camo top;Camo-topje
Camorra bust;Camorra buste
Candle lantern;Kaars lantaarn
Camel mask;Kameel masker
Camelot teleport;Camelot teleporteert
Cannon base;Kanonbasis
Cannon barrels;Kanonlopen
Cannon barrel;Kanonnenloop
Canister;Bus
Candy cane;Snoepgoed
Cannon balls;Kanonskogels
Cannon ball;Kanonskogel
Candles;Kaarsen
Cannon stand;Kanon stand
Cannon furnace;Kanon oven
Carnillean armour;Carnilleaans pantser
Cape of legends;Kaap der legendes
Carol's print;Carols afdruk
Cap and goggles;Pet en bril
Capacitor;Condensator
Cape of skulls;Kaap van schedels
Cape hanger;Kaap hanger
Carpenter's boots;Timmermanslaarzen
Cannonball;Kanonskogel
Canopic jar;Canopische pot
Carpenter's helmet;Timmermanshelm
Carpenter's trousers;Timmermansbroek
Carrot;Wortel
Carrot sword;Wortel zwaard
Carpenter's shirt;Timmermanshemd
Carpet;Tapijt
Carved oak bench;Gesneden eiken bank
Carved gem;Gesneden juweeltje
Carrallangar teleport;Carrallangar teleporteert
Carved oak magic wardrobe;Gesneden eiken magische kledingkast
Carved oak wardrobe;Gesneden eiken kledingkast
Carved teak table;Gesneden teakhouten tafel
Casket (elite);Kist (elite)
Carved teak bench;Gesneden teakhouten bank
Carved teak wardrobe;Gesneden teakhouten kledingkast
Casket;Kist
Casket (easy);Kist (makkelijk)
Casket (hard);Kist (hard)
Carved oak table;Gesneden eiken tafel
Carved teak magic wardrobe;Gesneden teakhouten magische kledingkast
Casket (medium);Kist (medium)
Castle sketch 1;Kasteelschets 1
Castle wars bracelet(3);Castle wars-armband(3)
Castle wars ticket;Castle wars-ticket
Castle wars bracelet(1);Castle wars-armband(1)
Castle sketch 2;Kasteelschets 2
Castle sketch 3;Kasteelschets 3
Castle wars bracelet(2);Castle wars-armband(2)
Castlewars brew(2);Castlewars brouwsel(2)
Castlewars brew(1);Castlewars brouwsel(1)
Castlewars hood;Castlewars-kap
Castlewars manual;Castlewars-handleiding
Cat mask;Kattenmasker
Cat antipoison;Kat antigif
Cat ears;Katten oren
Cat blanket;Kattendeken
Castlewars cloak;Castlewars mantel
Cat basket;Kattenmand
Castlewars brew(3);Castlewars brouwsel(3)
Castlewars brew(4);Castlewars brouwsel(4)
Cat training medal;Medaille voor kattentraining
Cave eel;Grot paling
Cavalier mask;Arrogant masker
Cave crawler;Grotkruiper
Catalytic rune pack;Katalytisch runenpakket
Catspeak amulet;Catspeak-amulet
Catfish;Meerval
Catherby teleport;Catherby teleporteert
Cattleprod;Veeprod
Catspeak amulet(e);Catspeak-amulet(e)
Cave goblin wire;Grot goblin draad
Cavefish;Grotvis
Cavern key;Grot sleutel
Cave horror;Grot-horror
Cave nightshade;Grot nachtschade
Cavern grubs;Grotlarven
Cave kraken;Grot kraken
Cave worms;Grotwormen
Cave goblin;Grot-kobold
Cave goblin skull;Grot Goblin schedel
Celastrus seedling;Celastrus-zaailing
Celestial ring (uncharged);Hemelse ring (ongeladen)
Celestial ring;Hemelse ring
Caviar;Kaviaar
Celestial signet;Hemelse zegel
Celastrus bark;Celastrus schors
Celastrus seed;Celastruszaad
Celestial globe;Hemelse bol
Celastrus sapling;Celastrus-jong boompje
Celastrus seedling (w);Celastruszaailing (w)
Cell key 2;Celsleutel 2
Ceramic remains;Keramische overblijfselen
Certificate;Certificaat
Chain;Ketting
Cemetery teleport;Teleportatie van de begraafplaats
Cerulean twitch;Ceruleaanse zenuwtrekking
Challenge scroll (elite);Uitdagingsrol (elite)
Cell door key;Sleutel van celdeur
Cell key 1;Celsleutel 1
Celestial signet (uncharged);Hemelse zegel (ongeladen)
Challenge scroll (medium);Uitdagingsscroll (medium)
Chaos rune;Chaos rune
Champion's lamp;Kampioenslamp
Champions token;Kampioenen-token
Chaos core;Chaos kern
Challenge scroll (hard);Uitdagingsscroll (moeilijk)
Chaos elemental;Elementaire chaos
Champion's cape;Kampioen cape
Chaos rune (nz);Chaos-rune (nz)
Chaos gauntlets;Chaoshandschoenen
Chaotic handegg;Chaotisch handei
Chapel;Kapel
Chaos talisman;Chaos-talisman
Charcoal;Houtskool
Charged onyx;Opgeladen onyx
Chart;Grafiek
Cheese;Kaas
Charge dragonstone jewellery scroll;Laad de drakensteen-sieradenrol op
Chaos rune pack;Chaos runenpakket
Chaos tiara;Chaos tiara
Chef's delight(4);Verrukking van de chef-kok(4)
Chef's delight(1);Verrukking van de chef-kok(1)
Chef's delight(3);Verrukking van de chef-kok(3)
Chef's delight(m3);Verrukking van de chef-kok (m3)
Chef's delight(m2);Verrukking van de chef-kok (m2)
Chef's delight(2);Verrukking van de chef-kok(2)
Cheese+tom batta;Kaas+tom batta
Chef's delight(m);Verrukking van de chef(m)
Chef's delight(m1);Verrukking van de chef-kok (m1)
Chef's delight;Het genot van de chef-kok
Chicken feet;Kippenpoten
Chef's hat;Koksmuts
Chicken;Kip
Chest;Borst
Chef's delight(m4);Verrukking van de chef-kok (m4)
Chemical compound;Chemische verbinding
Chest key;Borstsleutel
Chewed bones;Gekauwde botten
Chicken cage;Kippenkooi
Chemical powder;Chemisch poeder
Chicken head;Kip hoofd
Choc saturday;Choc zaterdag
Chisel;Beitel
Chilli potato;Chili aardappel
Chicken legs;Kippenpoten
Chilli con carne;Chili con carne
Chinchompa;Chinchompa
Child's blanket;Kinderdekentje
Chicken wings;Kippenvleugels
Choc-ice;Choc-ijs
Chocchip crunchies;Chocchip-crunchies
Chocolate kebbit;Chocolade kebbit
Chocolate bar;Chocoladereep
Chocolatey milk;Chocoladeachtige melk
Chocolate bomb;Chocolade bom
Chocolate slice;Chocolade plakje
Chocolate cake;Chocoladecake
Chocolate strawberry;Chocolade aardbei
Chocolate chunks;Chocolade stukjes
Chocolate dust;Chocolade stof
Chopped tuna;Gehakte tonijn
Chopped onion;Gehakte ui
Chompy bird hat;Chompy vogel hoed
Chopped tomato;Gehakte tomaat
Chopped ugthanki;Gehakte ugthanki
Chompy chick;Chompige meid
Christmas cracker;Kerst cracker
Chronicle;Kroniek
Chores;Klusjes
Chopped garlic;Gehakte knoflook
Cider(4);Cider(4)
Chunk of crystal;Stukje kristal
Cider(m2);Cider(m2)
Cider barrel;Cidervat
Cider;Cider
Cider(2);Cider(2)
Cicely;Cicely
Cider(3);Cider(3)
Cider(m1);Cider(m1)
Cider(1);Cider(1)
Citizen trousers;Citizen broek
Citizen shoes;Burger schoenen
Clay attack stone;Aanvalssteen van klei
Circular hide;Ronde huid
Cider(m3);Cider(m3)
Clay;Klei
Cinnamon;Kaneel
Citizen top;Burger bovenaan
Cider(m4);Cider(m4)
Clan wars cape;Kaap van clanoorlogen
Climbing rope;Klimtouw
Clockwork;Uurwerk
Cleaning cloth;Reinigingsdoekje
Clear liquid;Heldere vloeistof
Climbing boots (g);Klimschoenen (g)
Clay fireplace;Klei open haard
Clean necklace;Schone ketting
Climbing boots;Klimschoenen
Clay head;Hoofd van klei
Cleaver;Hakmes
Clown shoes;Clownschoenen
Clown trousers;Clownbroek
Cloth-covered altar;Met stof bedekt altaar
Clown bow tie;Clown strikje
Clown mask;Clown-masker
Clue bottle (beginner);Clue fles (beginner)
Clue bottle (easy);Clue-fles (makkelijk)
Clockwork suit;Uurwerk pak
Clockwork book;Uurwerk boek
Clown gown;Clownjurk
Clue bottle (medium);Clue-fles (medium)
Clue bottle (elite);Clue-fles (elite)
Clue bottle (hard);Clue fles (hard)
Clue box;Aanwijzingendoos
Clue geode (elite);Aanwijzingsgeode (elite)
Clue geode (hard);Aanwijzingsgeode (hard)
Clue geode (beginner);Aanwijzingsgeode (beginner)
Clue geode (medium);Aanwijzingsgeode (medium)
Clue geode (easy);Aanwijzingsgeode (makkelijk)
Clue hunter boots;Cluehunter-laarzen
Clue hunter cloak;Clue Hunter-mantel
Clue hunter gloves;Cluehunter-handschoenen
Clue nest (easy);Aanwijzingsnest (makkelijk)
Clue nest (hard);Aanwijzingsnest (hard)
Clue hunter trousers;Cluehunter broek
Clue nest (medium);Aanwijzingsnest (medium)
Clue scroll;Aanwijzing scrollen
Clue nest (elite);Aanwijzingsnest (elite)
Clue hunter garb;Clue Hunter-kleding
Clue nest (beginner);Clue-nest (beginner)
Coal;Kolen
Clue scroll (elite);Clue-scroll (elite)
Clue scroll (hard);Clue-scroll (hard)
Clue scroll (master);Clue-scroll (master)
Clue scroll (beginner);Clue-scroll (beginner)
Coal bag;Kolenzak
Clueless scroll;Geen idee scrollen
Clue scroll (easy);Clue-scroll (makkelijk)
Clue scroll (medium);Clue-scroll (medium)
Coal fragment;Kolenfragment
Coconut milk;Kokosmelk
Coconut shell;Kokosnoot
Cocktail glass;Cocktailglas
Cocktail shaker;Cocktailshaker
Coated frogs' legs;Gecoate kikkerbilletjes
Cockatrice;Basilisk
Coconut;Kokosnoot
Cocktail guide;Cocktailgids
Cockatrice head;Cockatrice hoofd
Cod;Kabeljauw
Cog;Kogge
Colour wheel;Kleurenwiel
Coif;Coif
Collection bag;Verzamelzak
Collector icon;Verzamelaar icoon
Collector horn;Verzamelhoorn
Collection log;Verzamellogboek
Coins;Munten
Coffin;Kist
Coin pouch;Muntzakje
Combat bracelet(1);Gevechtsarmband(1)
Combat bracelet(3);Gevechtsarmband(3)
Combat bracelet(5);Gevechtsarmband(5)
Combat dummy;Gevechtsdummy
Combat bracelet(4);Gevechtsarmband(4)
Coloured ball;Gekleurde bal
Combat damaged key;Bestrijd beschadigde sleutel
Combat bracelet(6);Gevechtsarmband(6)
Combat bracelet(2);Gevechtsarmband(2)
Combat bracelet;Gevechtsarmband
Combat path starter kit;Starterkit voor gevechtspaden
Combat potion(4);Gevechtsdrank(4)
Combat potion(3);Gevechtsdrank(3)
Combat path voucher;Voucher voor gevechtspaden
Combat potion(2);Gevechtsdrank(2)
Combat potion(1);Gevechtsdrank(1)
Combat lamp;Gevechtslamp
Combat mix(1);Gevechtsmix(1)
Combat potion set;Gevechtsdrankjesset
Combat mix(2);Gevechtsmix(2)
Combat scratched key;Bestrijd gekraste sleutel
Combat scarred key;Bestrijd de gehavende sleutel
Common tench;Gemeenschappelijke zeelt
Combat ring;Gevechtsring
Comfy mattress;Comfortabel matras
Combat room;Gevechtsruimte
Commorb;Commorb
Combination;Combinatie
Common kebbit fur;Gemeenschappelijke kebbitbont
Commorb v2;Commorbv2
Compost potion(4);Compostdrank(4)
Community pumpkin;Gemeenschapspompoen
Compost bin;Compostbak
Compost pack;Compostpakket
Compost potion(3);Compostdrank(3)
Compost potion(1);Compostdrank(1)
Conch shell;Schelp
Comp ogre bow;Comp ogre boog
Compost potion(2);Compostdrank(2)
Compost;Compost
Construct. hood;Construct. kap
Cooked chicken;Gekookte kip
Consecrated house;Gewijd huis
Construct. cape(t);Construct. Kaap(t)
Construct. cape;Construct. kaap
Conductor mould;Geleider schimmel
Conductor;Geleider
Consecration seed;Toewijding zaad
Construction guide;Bouwgids
Cooked chompy;Chomp gekookt
Cooked fishcake;Gekookte viskoekjes
Cooked karambwan;Gekookte karambwan
Cooked jubbly;Jubbel gekookt
Cooked slimy eel;Gekookte slijmerige paling
Cooked crab meat;Gekookt krabvlees
Cooked sweetcorn;Gekookte suikermaïs
Cooked meat;Gekookt vlees
Cooked rabbit;Gekookt konijn
Cooked mystery meat;Gekookt mysterieus vlees
Cooked oomlie wrap;Gekookte oomlie-wrap
Cooking gauntlets;Kookhandschoenen
Cooking pot;Kookpot
Cooking hood;Kookkap
Cooking cape;Koken cape
Copper longtail;Koperen lange staart
Copper's crimson collar;Koperen karmozijnrode kraag
Cooking apple;Appel koken
Cooking cape(t);Kookcape(t)
Cormorant's glove;Aalscholvers handschoen
Copper ore;Kopererts
Corpse of woman;Lijk van vrouw
Corrupted body (basic);Beschadigd lichaam (basis)
Corrupted body (perfected);Beschadigd lichaam (geperfectioneerd)
Cornflour mixture;Maïzena mengsel
Cornflour;Maïzena
Corrupted axe;Beschadigde bijl
Corrupted bow (basic);Beschadigde boog (basis)
Corrupted bow (attuned);Beschadigde boog (afgestemd)
Corrupted bow (perfected);Beschadigde boog (geperfectioneerd)
Corrupted body (attuned);Beschadigd lichaam (afgestemd)
Corrupted helm (attuned);Beschadigd roer (afgestemd)
Corrupted dust;Beschadigd stof
Corrupted helm (basic);Beschadigd roer (basis)
Corrupted halberd (attuned);Beschadigde hellebaard (afgestemd)
Corrupted bowstring;Beschadigde boogpees
Corrupted halberd (perfected);Beschadigde hellebaard (geperfectioneerd)
Corrupted harpoon;Beschadigde harpoen
Corrupted helm (perfected);Beschadigd roer (geperfectioneerd)
Corrupted halberd (basic);Beschadigde hellebaard (basis)
Corrupted helm;Beschadigd roer
Corrupted legs (attuned);Beschadigde benen (afgestemd)
Corrupted orb;Beschadigde bol
Corrupted kiteshield;Beschadigd vliegerschild
Corrupted plateskirt;Beschadigde plaatrok
Corrupted legs (perfected);Beschadigde benen (geperfectioneerd)
Corrupted ore;Beschadigd erts
Corrupted legs (basic);Beschadigde benen (basis)
Corrupted pickaxe;Beschadigde houweel
Corrupted platebody;Beschadigd plaatlichaam
Corrupted platelegs;Beschadigde plaatbenen
Corrupted shards;Beschadigde scherven
Cosmic rune;Kosmische rune
Corrupted spike;Beschadigde piek
Corrupted staff (attuned);Corrupt personeel (afgestemd)
Cosmic talisman;Kosmische talisman
Corrupted staff (perfected);Beschadigd personeel (geperfectioneerd)
Corrupted sceptre;Beschadigde scepter
Corrupted staff (basic);Beschadigd personeel (basis)
Corrupted youngllef;Corrupte jongellef
Corrupted teleport crystal;Beschadigd teleportkristal
Cow trousers;Koe broek
Cowbells;Koebellen
Cowhide;Koeienhuid
Cow gloves;Koe handschoenen
Cosmic tiara;Kosmische tiara
Crab claw;Krab klauw
Costume room;Kostuum kamer
Cow mask;Koe masker
Cow shoes;Koe schoenen
Cow top;Koe bovenkant
Crabclaw hook;Krabbenklauw haak
Crafting hood;Kap maken
Crab helmet;Krab helm
Crafting cape(t);Kaap(t) maken
Crafting manual;Handleiding voor het maken
Crackers;Crackers
Crab meat;Krab vlees
Crafting cape;Kaap maken
Crafting table 1;Knutseltafel 1
Cracked sample;Gebarsten monster
Crandor map;Crandor-kaart
Crafting table 2;Knutseltafel 2
Crafting table 3;Knutseltafel 3
Cranial clamp;Craniale klem
Crate with zanik;Krat met zanik
Crafting table 4;Knutseltafel 4
Crane schematic;Kraanschema
Crate part;Krat onderdeel
Crate;Krat
Crane claw;Kraan klauw
Cream hat;Crème hoed
Cream robe top;Crème gewaadtopje
Creature keeper's journal;Dagboek voor de schepselbewaarder
Craw's bow;De boog van Craw
Crest part;Kamdeel
Cream boots;Crème laarzen
Cream robe bottoms;Crèmekleurige onderbroek
Crazed scribbles;Gekke krabbels
Craw's bow (u);Krabbenboog (u)
Crawling hand;Kruipende hand
Crier coat;Crier-jas
Crier hat;Crier hoed
Crone-made amulet;Crone-gemaakt amulet
Cruciferous codex;Kruisbloemige codex
Crier bell;Omroep bel
Criminal's dagger;De dolk van een crimineel
Criminal's thread;Criminele draad
Crossbow string;Kruisboog touw
Crossbow;Kruisboog
Crimson swift;Karmozijnrood snel
Crumbling tome;Afbrokkelend boekdeel
Crunchy chocolate mix;Krokante chocolademix
Crumpled scroll;Verfrommeld scroll
Crunchy easter egg;Knapperig paasei
Crude wooden chair;Ruwe houten stoel
Crunchy tray;Knapperig dienblad
Crushed gem;Verpletterde edelsteen
Cruder carving;Ruwer snijwerk
Crude carving;Ruw snijwerk
Crude chair;Ruwe stoel
Crystal acorn;Kristallen eikel
Crystal body;Kristallen lichaam
Crushed nest;Verpletterd nest
Crystal armour seed;Kristallen pantserzaad
Crystal body (attuned);Kristallen lichaam (afgestemd)
Crystal;Kristal
Crushed superior dragon bones;Verpletterde superieure drakenbotten
Crystal ball;Kristallen bol
Crystal axe (inactive);Kristallen bijl (inactief)
Crystal axe;Kristallen bijl
Crystal body (inactive);Kristallichaam (inactief)
Crystal bow 1/10;Kristallen strik 1/10
Crystal bow;Kristallen boog
Crystal bow (basic);Kristallen strik (basis)
Crystal body (perfected);Kristallen lichaam (geperfectioneerd)
Crystal bow (perfected);Kristallen strik (geperfectioneerd)
Crystal body (basic);Kristallen lichaam (basis)
Crystal body (beta);Kristallichaam (bèta)
Crystal bow (attuned);Kristallen strik (afgestemd)
Crystal bow (inactive);Kristallen boog (inactief)
Crystal bow 5/10 (i);Kristallen boog 5/10 (i)
Crystal bow 6/10;Kristallen boog 6/10
Crystal bow 3/10 (i);Kristallen boog 3/10 (i)
Crystal bow 2/10 (i);Kristallen boog 2/10 (i)
Crystal bow 4/10;Kristallen strik 4/10
Crystal bow 4/10 (i);Kristallen boog 4/10 (i)
Crystal bow 3/10;Kristallen strik 3/10
Crystal bow 2/10;Kristallen strik 2/10
Crystal bow 5/10;Kristallen strik 5/10
Crystal bow 1/10 (i);Kristallen boog 1/10 (i)
Crystal crown;Kristallen kroon
Crystal bow 8/10 (i);Kristallen boog 8/10 (i)
Crystal bow 8/10;Kristallen boog 8/10
Crystal bow 7/10 (i);Kristallen boog 7/10 (i)
Crystal bow 9/10 (i);Kristallen boog 9/10 (i)
Crystal bow full (i);Kristallen boog vol (i)
Crystal bow 6/10 (i);Kristallen boog 6/10 (i)
Crystal bow 9/10;Kristallen boog 9/10
Crystal bow 7/10;Kristallen strik 7/10
Crystal bow full;Kristallen strik vol
Crystal halberd (perfected);Kristallen hellebaard (geperfectioneerd)
Crystal dust;Kristal stof
Crystal grail;Kristallen graal
Crystal halberd;Kristallen hellebaard
Crystal halberd (attuned);Kristallen hellebaard (afgestemd)
Crystal halberd (inactive);Kristallen hellebaard (inactief)
Crystal halberd (basic);Kristallen hellebaard (basis)
Crystal halberd 1/10;Kristallen hellebaard 1/10
Crystal halberd 1/10 (i);Kristallen hellebaard 1/10 (i)
Crystal halberd 2/10;Kristallen hellebaard 2/10
Crystal halberd 6/10;Kristallen hellebaard 6/10
Crystal halberd 3/10 (i);Kristallen hellebaard 3/10 (i)
Crystal halberd 6/10 (i);Kristallen hellebaard 6/10 (i)
Crystal halberd 7/10;Kristallen hellebaard 7/10
Crystal halberd 5/10;Kristallen hellebaard 5/10
Crystal halberd 5/10 (i);Kristallen hellebaard 5/10 (i)
Crystal halberd 3/10;Kristallen hellebaard 3/10
Crystal halberd 2/10 (i);Kristallen hellebaard 2/10 (i)
Crystal halberd 4/10;Kristallen hellebaard 4/10
Crystal halberd 4/10 (i);Kristallen hellebaard 4/10 (i)
Crystal halberd 7/10 (i);Kristallen hellebaard 7/10 (i)
Crystal halberd 9/10 (i);Kristallen hellebaard 9/10 (i)
Crystal halberd 8/10;Kristallen hellebaard 8/10
Crystal harpoon (inactive);Kristallen harpoen (inactief)
Crystal helm;Kristallen roer
Crystal halberd 8/10 (i);Kristallen hellebaard 8/10 (i)
Crystal halberd full;Kristallen hellebaard vol
Crystal halberd 9/10;Kristallen hellebaard 9/10
Crystal harpoon;Kristallen harpoen
Crystal halberd full (i);Kristallen hellebaard vol (i)
Crystal legs (attuned);Kristallen poten (afgestemd)
Crystal helm (perfected);Kristallen roer (geperfectioneerd)
Crystal key;Kristallen sleutel
Crystal legs;Kristallen poten
Crystal helm (basic);Kristallen roer (basis)
Crystal legs (basic);Kristallen poten (basis)
Crystal helm (beta);Kristallen roer (bèta)
Crystal helm (inactive);Kristallen roer (inactief)
Crystal helm (attuned);Kristallen helm (afgestemd)
Crystal impling jar;Kristallen implingpot
Crystal of hefin;Kristal van Hefin
Crystal of ithell;Kristal van de hel
Crystal of cadarn;Kristal van cadarijn
Crystal legs (beta);Kristallen poten (bèta)
Crystal legs (perfected);Kristallen poten (geperfectioneerd)
Crystal of iorwerth;Kristal van vroeger
Crystal of meilyr;Kristal van Meilyr
Crystal of amlodd;Kristal van amlodd
Crystal legs (inactive);Kristallen poten (inactief)
Crystal of crwys;Kristal van crwys
Crystal orb;Kristallen bol
Crystal pendant;Kristallen hanger
Crystal ore;Kristal erts
Crystal pickaxe;Kristallen houweel
Crystal sapling;Kristallen jonge boom
Crystal saw;Kristallen zaag
Crystal of memories;Kristal van herinneringen
Crystal of power;Kristal van macht
Crystal pickaxe (inactive);Kristallen houweel (inactief)
Crystal of trahaearn;Kristal van trahaearn
Crystal shield;Kristallen schild
Crystal seedling;Kristallen zaailing
Crystal sceptre;Kristallen scepter
Crystal seed;Kristal zaad
Crystal shard;Kristallen scherf
Crystal shield (inactive);Kristallen schild (inactief)
Crystal shards;Kristallen scherven
Crystal seedling (w);Kristalzaailing (w)
Crystal shield 1/10;Kristallen schild 1/10
Crystal saw seed;Kristal zag zaad
Crystal shield 2/10;Kristallen schild 2/10
Crystal shield 4/10 (i);Kristallen schild 4/10 (i)
Crystal shield 5/10;Kristallen schild 5/10
Crystal shield 3/10;Kristallen schild 3/10
Crystal shield 3/10 (i);Kristallen schild 3/10 (i)
Crystal shield 4/10;Kristallen schild 4/10
Crystal shield 2/10 (i);Kristallen schild 2/10 (i)
Crystal shield 6/10;Kristallen schild 6/10
Crystal shield 1/10 (i);Kristallen schild 1/10 (i)
Crystal shield 5/10 (i);Kristallen schild 5/10 (i)
Crystal shield 7/10 (i);Kristallen schild 7/10 (i)
Crystal shield 8/10;Kristallen schild 8/10
Crystal shield full (i);Kristallen schild vol (i)
Crystal shield 7/10;Kristallen schild 7/10
Crystal singing for beginners;Kristalzang voor beginners
Crystal shield 8/10 (i);Kristallen schild 8/10 (i)
Crystal shield 9/10;Kristallen schild 9/10
Crystal shield 6/10 (i);Kristallen schild 6/10 (i)
Crystal shield full;Kristallen schild vol
Crystal shield 9/10 (i);Kristallen schild 9/10 (i)
Crystal-mine key;Kristalmijnsleutel
Crystal weapon seed;Kristallen wapenzaad
Crystal teleport seed;Kristal teleporteer zaad
Crystal staff (basic);Kristalstaf (basis)
Crystal tool seed;Kristal gereedschapszaad
Crystal trinket;Kristallen snuisterij
Crystal staff (perfected);Kristallen staf (geperfectioneerd)
Crystal staff (attuned);Kristallen staf (afgestemd)
Crystal spike;Kristallen piek
Crystal throne;Kristallen troon
Cup of tea;Kopje thee
Crystalline bowstring;Kristallijne boogpees
Crystalline portal nexus;Kristallijne poortverbinding
Cup of hot water;Kopje heet water
Cupric sulfate;Kopersulfaat
Cube;Kubus
Cup of water;Kopje water
