'perfect' gold bar;"täydellinen" kultaharkko
Clown bow tie;Klovni rusetti
Clown mask;Klovni naamio
Clue bottle (beginner);Vihjepullo (aloittelija)
Clue bottle (easy);Vihjepullo (helppo)
Clockwork suit;Kellotyöpuku
Clockwork book;Kellotyö kirja
Clown gown;Klovni mekko
Clue bottle (medium);Vihjepullo (keskikokoinen)
Clue bottle (elite);Vihjepullo (eliitti)
Clue bottle (hard);Vihjepullo (kova)
Clue box;Vihjelaatikko
Clue geode (elite);Vihjegeodi (eliitti)
Clue geode (hard);Vihjegeodi (kova)
Clue geode (beginner);Vihjegeodi (aloittelija)
Clue geode (medium);Vihjegeodi (keskikokoinen)
Clue geode (easy);Vihjegeodi (helppo)
Clue hunter boots;Vihjeidenmetsästäjän saappaat
Clue hunter cloak;Vihjeenmetsästäjän viitta
Clue hunter gloves;Vihjeidenmetsästäjän käsineet
Clue nest (easy);Vihjepesä (helppo)
Clue nest (hard);Vihjepesä (kova)
Clue hunter trousers;Vihjeidenmetsästäjän housut
Clue nest (medium);Vihjepesä (keskikokoinen)
Clue scroll;Vihje rullaa
Clue nest (elite);Vihjepesä (eliitti)
Clue hunter garb;Vihjeenmetsästäjän puku
Clue nest (beginner);Vihjepesä (aloittelija)
Coal;Hiili
Clue scroll (elite);Vihjerulla (eliitti)
Clue scroll (hard);Vihjerulla (kova)
Clue scroll (master);Vihjerulla (mestari)
Clue scroll (beginner);Vihjerulla (aloittelija)
Coal bag;Hiilipussi
Clueless scroll;Tietämätön rulla
Clue scroll (easy);Vihjeiden vieritys (helppo)
Clue scroll (medium);Vihjerulla (keskikokoinen)
Coal fragment;Hiilen fragmentti
Coconut milk;Kookosmaito
Coconut shell;Kookospähkinän kuori
Cocktail glass;Cocktail lasi
Cocktail shaker;Cocktail shaker
Coated frogs' legs;Päällystetyt sammakon jalat
Cockatrice;Cockatrice
Coconut;Kookos
Cocktail guide;Cocktail-opas
Cockatrice head;Cockatricen pää
Cod;Turska
Cog;Cog
Colour wheel;Väripyörä
Coif;Hilkka
Collection bag;Keräyslaukku
Collector icon;Keräilijäkuvake
Collector horn;Keräilijän torvi
Collection log;Keräysloki
Coins;Kolikot
Coffin;Arkku
Coin pouch;Kolikkopussi
Combat bracelet(1);Taistelurannerengas (1)
Combat bracelet(3);Taistelurannerengas (3)
Combat bracelet(5);Taistelurannerengas (5)
Combat dummy;Taistelunukke
Combat bracelet(4);Taistelurannerengas (4)
Coloured ball;Värillinen pallo
Combat damaged key;Taistele vaurioituneen avaimen kanssa
Combat bracelet(6);Taistelurannerengas (6)
Combat bracelet(2);Taistelurannerengas (2)
Combat bracelet;Taisteluranneke
Combat path starter kit;Combat polun aloitussarja
Combat potion(4);Taistelujuoma (4)
Combat potion(3);Taistelujuoma (3)
Combat path voucher;Taistelupolun kuponki
Combat potion(2);Taistelujuoma(2)
Combat potion(1);Taistelujuoma (1)
Combat lamp;Taistelulamppu
Combat mix(1);Taistelusekoitus (1)
Combat potion set;Taistelujuomasarja
Combat mix(2);Taistelusekoitus (2)
Combat scratched key;Taistele naarmuuntunut avain
Combat scarred key;Combat arpinen avain
Common tench;Tavallinen suutari
Combat ring;Taistelurengas
Comfy mattress;Mukava patja
Combat room;Taisteluhuone
Commorb;Commorb
Combination;Yhdistelmä
Common kebbit fur;Tavallinen kebbit-turkki
Commorb v2;Commorb v2
Compost potion(4);Kompostijuoma (4)
Community pumpkin;Yhteisön kurpitsa
Compost bin;Kompostiastia
Compost pack;Kompostipakkaus
Compost potion(3);Kompostijuoma (3)
Compost potion(1);Kompostijuoma (1)
Conch shell;Kotiloisen kuori
Comp ogre bow;Comp ogre jousi
Compost potion(2);Kompostijuoma (2)
Compost;Komposti
Construct. hood;Rakentaa. huppu
Cooked chicken;Keitetty kana
Consecrated house;Vihitty talo
Construct. cape(t);Rakentaa. viitta (t)
Construct. cape;Rakentaa. viitta
Conductor mould;Johtimen muotti
Conductor;Kapellimestari
Consecration seed;Vihkimisen siemen
Construction guide;Rakennusopas
Cooked chompy;Kypsennettynä kypsäksi
Cooked fishcake;Keitetty kalakakku
Cooked karambwan;Keitetty karambwan
Cooked jubbly;Kypsennettynä kypsäksi
Cooked slimy eel;Keitetty limainen ankerias
Cooked crab meat;Keitetty rapuliha
Cooked sweetcorn;Keitetty sokerimaissi
Cooked meat;Keitetty liha
Cooked rabbit;Keitetty kani
Cooked mystery meat;Kypsennetty mysteeriliha
Cooked oomlie wrap;Keitetty oomlie-kääre
Cooking gauntlets;Keittokäsineet
Cooking pot;Keittoastia
Cooking hood;Liesituuletin
Cooking cape;Keitto viitta
Copper longtail;Kupari pitkähäntä
Copper's crimson collar;Kuparin karmiininpunainen kaulus
Cooking apple;Ruokaomena
Cooking cape(t);Keittoviitta (t)
Cormorant's glove;Merimetson hansikas
Copper ore;Kuparimalmi
Corpse of woman;Naisen ruumis
Corrupted body (basic);Vioittunut runko (perus)
Corrupted body (perfected);Vioittunut vartalo (täydellinen)
Cornflour mixture;Maissijauhoseos
Cornflour;Maissijauho
Corrupted axe;Vioittunut kirves
Corrupted bow (basic);Vioittunut jousi (perus)
Corrupted bow (attuned);Vioittunut jousi (viritetty)
Corrupted bow (perfected);Vioittunut jousi (täydellinen)
Corrupted body (attuned);Vioittunut ruumis (viritetty)
Corrupted helm (attuned);Vioittunut ruori (viritetty)
Corrupted dust;Vioittunut pöly
Corrupted helm (basic);Vioittunut ruori (perus)
Corrupted halberd (attuned);Vioittunut halbardi (viritetty)
Corrupted bowstring;Vioittunut jousinauha
Corrupted halberd (perfected);Vioittunut alabardi (täydellinen)
Corrupted harpoon;Vioittunut harppuuna
Corrupted helm (perfected);Vioittunut ruori (täydellinen)
Corrupted halberd (basic);Vioittunut alabardi (perus)
Corrupted helm;Vioittunut ruori
Corrupted legs (attuned);Vioittuneet jalat (viritetty)
Corrupted orb;Korruptoitunut pallo
Corrupted kiteshield;Vioittunut leijakilpi
Corrupted plateskirt;Vioittunut levyhame
Corrupted legs (perfected);Vioittuneet jalat (täydelliset)
Corrupted ore;Korruptoitunut malmi
Corrupted legs (basic);Vioittuneet jalat (perus)
Corrupted pickaxe;Vioittunut hakku
Corrupted platebody;Vioittunut levyrunko
Corrupted platelegs;Vioittuneet levyjalat
Corrupted shards;Vioittuneet sirpaleet
Cosmic rune;Kosminen riimu
Corrupted spike;Vioittunut piikki
Corrupted staff (attuned);Korruptoitunut henkilökunta (viritetty)
Cosmic talisman;Kosminen talisman
Corrupted staff (perfected);Vioittunut henkilökunta (täydellinen)
Corrupted sceptre;Vioittunut valtikka
Corrupted staff (basic);Korruptoitunut henkilökunta (perus)
Corrupted youngllef;Korruptoitunut nuori
Corrupted teleport crystal;Vioittunut teleporttikide
Cow trousers;Lehmän housut
Cowbells;Lehmänkellot
Cowhide;Lehmännahka
Cow gloves;Lehmän käsineet
Cosmic tiara;Kosminen tiara
Crab claw;Rapu kynsi
Costume room;Pukuhuone
Cow mask;Lehmän naamio
Cow shoes;Lehmän kengät
Cow top;Lehmän toppi
Crabclaw hook;Rapukynsien koukku
Crafting hood;Askartelu huppu
Crab helmet;Rapu kypärä
Crafting cape(t);Askarteluviitta (t)
Crafting manual;Käsityön käsikirja
Crackers;Keksit
Crab meat;Rapun liha
Crafting cape;Askartelu viitta
Crafting table 1;Askartelupöytä 1
Cracked sample;Murtunut näyte
Crandor map;Crandor kartta
Crafting table 2;Askartelupöytä 2
Crafting table 3;Askartelupöytä 3
Cranial clamp;Kraniaalinen puristin
Crate with zanik;Laati zanikilla
Crafting table 4;Askartelupöytä 4
Crane schematic;Nosturin kaavio
Crate part;Laatikon osa
Crate;Häkki
Crane claw;Nosturin kynsi
Cream hat;Kermanvärinen hattu
Cream robe top;Kermanvärinen kaapullinen toppi
Creature keeper's journal;Olentojen vartijan päiväkirja
Craw's bow;Craw'n jousi
Crest part;Harjan osa
Cream boots;Kermanväriset saappaat
Cream robe bottoms;Kermanväriset kylpytakit
Crazed scribbles;Hulluja kirjoituksia
Craw's bow (u);Craw'n jousi (u)
Crawling hand;Ryömivä käsi
Crier coat;Crier takki
Crier hat;Crier hattu
Crone-made amulet;Crone-valmistettu amuletti
Cruciferous codex;Ristikukkainen koodeksi
Crier bell;Huudon kello
Criminal's dagger;Rikollisen tikari
Criminal's thread;Rikollisen lanka
Crossbow string;Varsijousinauha
Crossbow;Varsijousi
Crimson swift;Crimson Swift
Crumbling tome;Murtuva kirja
Crunchy chocolate mix;Rapea suklaaseos
Crumpled scroll;Rypistynyt rulla
Crunchy easter egg;Rapea pääsiäismuna
Crude wooden chair;Raaka puinen tuoli
Crunchy tray;Rapea tarjotin
Crushed gem;Murskattu helmi
Cruder carving;Karkeampi kaiverrus
Crude carving;Karkea kaiverrus
Crude chair;Karkea tuoli
Crystal acorn;Kristalli tammenterho
Crystal body;Kristallirunko
Crushed nest;Murskattu pesä
Crystal armour seed;Crystal armor siemen
Crystal body (attuned);Kristallirunko (viritetty)
Crystal;Kristalli
Crushed superior dragon bones;Murskatut ylivoimaiset lohikäärmeen luut
Crystal ball;Kristallipallo
Crystal axe (inactive);Kristallikirves (ei aktiivinen)
Crystal axe;Kristallikirves
Crystal body (inactive);Kristallirunko (ei-aktiivinen)
Crystal bow 1/10;Kristallijousi 1/10
Crystal bow;Kristalli jousi
Crystal bow (basic);Kristallijousi (perus)
Crystal body (perfected);Kristallirunko (täydellinen)
Crystal bow (perfected);Kristallijousi (täydellinen)
Crystal body (basic);Kristallirunko (perus)
Crystal body (beta);Kristallirunko (beta)
Crystal bow (attuned);Kristallijousi (viritetty)
Crystal bow (inactive);Kristallijousi (ei aktiivinen)
Crystal bow 5/10 (i);Kristallijousi 5/10 (i)
Crystal bow 6/10;Kristallijousi 6/10
Crystal bow 3/10 (i);Kristallijousi 3/10 (i)
Crystal bow 2/10 (i);Kristallijousi 2/10 (i)
Crystal bow 4/10;Kristallijousi 4/10
Crystal bow 4/10 (i);Kristallijousi 4/10 (i)
Crystal bow 3/10;Kristallijousi 3/10
Crystal bow 2/10;Kristallijousi 2/10
Crystal bow 5/10;Kristallijousi 5/10
Crystal bow 1/10 (i);Kristallijousi 1/10 (i)
Crystal crown;Kristallikruunu
Crystal bow 8/10 (i);Kristallijousi 8/10 (i)
Crystal bow 8/10;Kristallijousi 8/10
Crystal bow 7/10 (i);Kristallijousi 7/10 (i)
Crystal bow 9/10 (i);Kristallijousi 9/10 (i)
Crystal bow full (i);Kristallijousi täynnä (i)
Crystal bow 6/10 (i);Kristallijousi 6/10 (i)
Crystal bow 9/10;Kristallijousi 9/10
Crystal bow 7/10;Kristallijousi 7/10
Crystal bow full;Kristallijousi täynnä
Crystal halberd (perfected);Kristallihalabardi (täydellinen)
Crystal dust;Kristalli pöly
Crystal grail;Crystal Graal
Crystal halberd;Kristallinen alabardi
Crystal halberd (attuned);Kristallitallebardi (viritetty)
Crystal halberd (inactive);Kristallihalbardi (ei aktiivinen)
Crystal halberd (basic);Kristallitallebardi (perus)
Crystal halberd 1/10;Kristallihalabardi 1/10
Crystal halberd 1/10 (i);Kristallihalabardi 1/10 (i)
Crystal halberd 2/10;Kristallihalabardi 2/10
Crystal halberd 6/10;Kristallihalabardi 6/10
Crystal halberd 3/10 (i);Kristallitallebardi 3/10 (i)
Crystal halberd 6/10 (i);Kristallitallebardi 6/10 (i)
Crystal halberd 7/10;Kristallihalabardi 7/10
Crystal halberd 5/10;Kristallihalabardi 5/10
Crystal halberd 5/10 (i);Kristallitallebardi 5/10 (i)
Crystal halberd 3/10;Kristallihalabardi 3/10
Crystal halberd 2/10 (i);Kristallitallebardi 2/10 (i)
Crystal halberd 4/10;Kristallihalabardi 4/10
Crystal halberd 4/10 (i);Kristallitallebardi 4/10 (i)
Crystal halberd 7/10 (i);Kristallitallebardi 7/10 (i)
Crystal halberd 9/10 (i);Kristallitallebardi 9/10 (i)
Crystal halberd 8/10;Kristallihalabardi 8/10
Crystal harpoon (inactive);Kristalliharppuuna (ei aktiivinen)
Crystal helm;Kristalli ruori
Crystal halberd 8/10 (i);Kristallitallebardi 8/10 (i)
Crystal halberd full;Crystal alabardi täynnä
Crystal halberd 9/10;Kristallihalabardi 9/10
Crystal harpoon;Kristalliharppuuna
Crystal halberd full (i);Kristallihalabardi täynnä (i)
Crystal legs (attuned);Kristallijalat (viritetty)
Crystal helm (perfected);Crystal helm (täydellinen)
Crystal key;Kristalli avain
Crystal legs;Kristalliset jalat
Crystal helm (basic);Kristalli ruori (perus)
Crystal legs (basic);Kristallijalat (perus)
Crystal helm (beta);Crystal helm (beta)
Crystal helm (inactive);Crystal Helm (ei aktiivinen)
Crystal helm (attuned);Kristalliruori (viritetty)
Crystal impling jar;Crystal Impling jar
Crystal of hefin;Hefinin kristalli
Crystal of ithell;Helvetin kristalli
Crystal of cadarn;Cadarnin kristalli
Crystal legs (beta);Kristallijalat (beta)
Crystal legs (perfected);Kristallijalat (täydelliset)
Crystal of iorwerth;Iorwerthin kristalli
Crystal of meilyr;meilyrin kristalli
Crystal of amlodd;Amloddin kristalli
Crystal legs (inactive);Kristallijalat (ei aktiiviset)
Crystal of crwys;Crwysin kristalli
Crystal orb;Kristallipallo
Crystal pendant;Kristalliriipus
Crystal ore;Kristallimalmi
Crystal pickaxe;Kristallihakku
Crystal sapling;Kristalli taimi
Crystal saw;Kristallisaha
Crystal of memories;Muistojen kristalli
Crystal of power;Voiman kristalli
Crystal pickaxe (inactive);Kristallihakku (ei aktiivinen)
Crystal of trahaearn;Trahaearnin kristalli
Crystal shield;Kristalli suoja
Crystal seedling;Kristallitaimi
Crystal sceptre;Kristallivaltikka
Crystal seed;Kristallin siemen
Crystal shard;Kristallin sirpale
Crystal shield (inactive);Kristallikilpi (ei aktiivinen)
Crystal shards;Kristallin sirpaleita
Crystal seedling (w);Kristallitaimi (w)
Crystal shield 1/10;Kristallikilpi 1/10
Crystal saw seed;Kristallisahan siemen
Crystal shield 2/10;Kristallikilpi 2/10
Crystal shield 4/10 (i);Kristallikilpi 4/10 (i)
Crystal shield 5/10;Kristallikilpi 5/10
Crystal shield 3/10;Kristallikilpi 3/10
Crystal shield 3/10 (i);Kristallikilpi 3/10 (i)
Crystal shield 4/10;Kristallikilpi 4/10
Crystal shield 2/10 (i);Kristallikilpi 2/10 (i)
Crystal shield 6/10;Kristallikilpi 6/10
Crystal shield 1/10 (i);Kristallikilpi 1/10 (i)
Crystal shield 5/10 (i);Kristallikilpi 5/10 (i)
Crystal shield 7/10 (i);Kristallikilpi 7/10 (i)
Crystal shield 8/10;Kristallikilpi 8/10
Crystal shield full (i);Kristallikilpi täynnä (i)
Crystal shield 7/10;Kristallikilpi 7/10
Crystal singing for beginners;Kristallilaulua aloittelijoille
Crystal shield 8/10 (i);Kristallikilpi 8/10 (i)
Crystal shield 9/10;Kristallikilpi 9/10
Crystal shield 6/10 (i);Kristallikilpi 6/10 (i)
Crystal shield full;Kristallikilpi täynnä
Crystal shield 9/10 (i);Kristallikilpi 9/10 (i)
Crystal-mine key;Crystal-mine avain
Crystal weapon seed;Kristalli-ase siemen
Crystal teleport seed;Kristalliteleportti siemen
Crystal staff (basic);Crystal henkilökunta (perus)
Crystal tool seed;Kristallityökalun siemen
Crystal trinket;Kristallikoristeita
Crystal staff (perfected);Crystal henkilökunta (täydellinen)
Crystal staff (attuned);Crystal henkilökunta (viritetty)
Crystal spike;Crystal piikki
Crystal throne;Kristallivaltaistuin
Cup of tea;Kuppi teetä
Crystalline bowstring;Kristallinen jousinauha
Crystalline portal nexus;Crystalline Portal Nexus
Cup of hot water;Kuppi kuumaa vettä
Cupric sulfate;Kuparisulfaatti
Cube;Kuutio
Cup of water;Kuppi vettä
Cupric ore powder;Kuparimalmijauhe
Crystallised harpoonfish;Kiteytynyt harppuunakala
Curator's medallion;Kuraattorin medaljonki
Curry leaf;Curry lehtiä
Curry tree seed;Currypuun siemen
Cured yak-hide;Kovettunut jakinnahka
Cursed goblin bow;Kirottu peikko jousi
Curry;Curry
Curry sapling;Curryn taimi
Cursed banana;Kirottu banaani
Curry seedling;Curryn taimi
Curry seedling (w);currytaimi (w)
Cursed goblin hammer;Kirottu peikkovasara
Curved bone;Kaareva luu
Cyan crystal;Syaani kristalli
Cw armour 1;Cw-panssari 1
Cushioned basket;Pehmustettu kori
Cursed goblin staff;Kirottu peikko henkilökunta
Curtains;Verhot
Cutthroat flag;Leikkaava lippu
Custom bow string;Mukautettu jousinauha
Cw armour 3;Cw-panssari 3
Cw armour 2;Cw panssari 2
Cylinder;Sylinteri
Dagannoth;Dagannoth
Daeyalt ore;Daeyalt-malmi
Cyclops head;Kykloopin pää
Cyrisus's chest;Cyrisuksen rintakehä
Dagannoth bones;Dagannothin luut
Daffodils;Narsissit
Daconia rock;Daconia rock
Daeyalt essence;Daeyalt-esanssi
Daeyalt shard;Daeyaltin sirpale
Dagon'hai history;Dagon'hain historia
Dagon'hai robe top;Dagon'hai kaapullinen toppi
Dagon'hai robes set;Dagon'hai kaapusarja
Damaged book;Vaurioitunut kirja
Dagon'hai robe bottom;Dagon'hai kaapullinen alaosa
Dagannoth ribs;Dagannothin kylkiluut
Dagon'hai hat;Dagon'hai hattu
Dagannoth hide;Dagannoth piiloutua
Dagannoth-king bonemeal;Dagannoth-kuningas luujauho
Damaged armour;Vaurioitunut panssari
Damp egg;Kostea muna
Dark acorn;Tumma tammenterho
Damaged soul bearer;Vaurioitunut sielun kantaja
Dareeyak teleport;Dareeyak teleporttaa
Damp planks;Kosteat lankut
Damp tinderbox;Kostea tinderbox
Damaged dagger;Vioittunut tikari
Damaged monkey tail;Vaurioitunut apinan häntä
Damp sticks;Kosteat tikut
Dark altar;Tumma alttari
Dark cavalier;Tumma kavalieri
Dark dagger;Tumma tikari
Dark essence fragments;Tumman olemuksen fragmentteja
Dark dye;Tumma väriaine
Dark essence block;Dark essence -lohko
Dark bow tie;Tumma rusetti
Dark crab;Tumma rapu
Dark bow;Tumma rusetti
Dark claw;Tumma kynsi
Dark beast;Tumma peto
Dark infinity top;Tumma ääretön toppi
Dark flippers;Tummat räpylät
Dark fishing bait;Tumma kalastussyötti
Dark kebbit fur;Tumma kebbit-turkki
Dark infinity bottoms;Tummat äärettömät pohjat
Dark infinity hat;Tumma infinity-hattu
Dark key;Tumma avain
Dark infinity colour kit;Tumma infinity värisarja
Dark journal;Tumma päiväkirja
Dark manuscript;Tumma käsikirjoitus
Dark tuxedo jacket;Tumma smokkitakki
Dark tuxedo shoes;Tummat smokkikengät
Dark trousers;Tummat housut
Dark totem base;Tumma toteemipohja
Dark totem;Tumma toteemi
Dark tuxedo cuffs;Tummat smokkihihansuut
Dark relic;Tumma jäänne
Dark squirrel;Tumma orava
Dark totem middle;Tumma toteemi keskellä
Dark totem top;Tumma toteemipaita
Dashing kebbit fur;Reipas kebbit-turkki
Dead sea slug;Kuolleenmeren etana
Deadman teleport tablet;Deadman teleport tabletti
Dart;Tikka
Dartboard;Tikkataulu
Dawnbringer;Aamunkoiton tuoja
Darklight;Darklight
David's print;Davidin printti
Dead orb;Kuollut pallo
Deadman starter pack;Deadman aloituspaketti
Death tiara;Kuoleman tiara
Death's coffer;Kuoleman kakku
Deadman's chest;Deadmanin rintakehä
Deadman's cape;Deadmanin viitta
Decapitated head;Leikattu pää
Deadman's legs;Deadmanin jalat
Death rune;Kuoleman riimu
Death rune (nz);Kuoleman riimu (nz)
Death talisman;Kuoleman talisman
Death note;Kuolinsanoma
Decorative armour (broken);Koristeellinen panssari (rikki)
Decorative boots;Koristeelliset saappaat
Deconstructed onyx;Dekonstruoitu onyx
Decorative armour (l);Koristeellinen panssari (l)
Decorative full helm;Koristeellinen täysruori
Decorative armour;Koristeellinen panssari
Decorative boots (broken);Koristeelliset saappaat (rikki)
Decorative boots (l);Koristeelliset saappaat (l)
Decorative blood;Koristeellinen veri
Decorative emblem;Koristeellinen tunnus
Decorative shield (l);Koristekilpi (l)
Decorative shield (broken);Koristekilpi (rikki)
Decorative full helm (l);Koristeellinen täysruori (l)
Decorative helm;Koristeellinen ruori
Decorative full helm (broken);Koristeellinen täysruori (rikki)
Decorative helm (broken);Koristeellinen ruori (rikki)
Decorative pipe;Koristeellinen putki
Decorative shield;Koristeellinen suoja
Decorative helm (l);Koristeellinen ruori (l)
Decorative rock;Koristeellinen rock
Decorative sword;Koristeellinen miekka
Deep blue sweets;Syvän sinisiä makeisia
Deed;Teko
Decorative sword (broken);Koristemiekka (rikki)
Defence cape(t);Puolustusviitta (t)
Defence hood;Puolustushuppu
Defence cape;Puolustusviitta
Decorative window;Koristeellinen ikkuna
Deerstalker;Metsästäjänhattu
Decorative sword (l);Koristeellinen miekka (l)
Defensive shield;Puolustava kilpi
Defender horn;Puolustajatorvi
Defence potion(3);Puolustusjuoma(3)
Defence potion(2);Puolustusjuoma(2)
Delphinium seed;Delphinium siemenet
Defence mix(2);Puolustusyhdistelmä (2)
Defence potion(1);Puolustusjuoma(1)
Defence mix(1);Puolustusyhdistelmä (1)
Defence potion(4);Puolustusjuoma(4)
Defender icon;Defender-kuvake
Demonic sigil;Demoninen merkki
Demon lectern;Demoni puhuja
Demonic sigil mould;Demoninen sigil-muotti
Demon feet;Demonin jalat
Demon's heart;Demonin sydän
Dense essence block;Tiheä olemuslohko
Demon;Demoni
Desecrated house;Hävitetty talo
Demonic throne;Demoninen valtaistuin
Demonic tome;Demoninen teos
Desert amulet 2;Aavikon amuletti 2
Desert boots;Aavikon saappaat
Desert camo top;Desert camo toppi
Desert amulet 1;Aavikon amuletti 1
Desert amulet;Aavikon amuletti
Desert amulet 3;Aavikon amuletti 3
Desert amulet 4;Aavikon amuletti 4
Desert disguise;Aavikon naamio
Desert camo legs;Aavikon camon jalat
Desert devil fur;Aavikon paholaisen turkki
Desert painting;Aavikon maalaus
Desert shirt;Aavikon paita
Desert robes;Aavikkovaatteita
Desert goat horn;Aavikon vuohen sarvi
Desert legs;Aavikon jalat
Desert lizard;Aavikkolisko
Desert robe;Aavikon kaapu
Desert habitat;Aavikon elinympäristö
Desert lizard bone;Aavikon liskon luu
Desert top;Aavikon huippu
Dharok's armour set;Dharokin panssarisarja
Dharok's greataxe;Dharokin suurkirves
Dharok's greataxe 0;Dharokin suurkirves 0
Dharok's helm;Dharokin ruori
Dharok's greataxe 75;Dharok's Greataxe 75
Dharok's greataxe 100;Dharok's Greataxe 100
Dexterous prayer scroll;Taitava rukouskäärö
Dharok's greataxe 25;Dharokin suurkirves 25
Devout boots;Uskolliset saappaat
Dharok's greataxe 50;Dharok's Greataxe 50
Dharok's platebody 25;Dharokin levyrunko 25
Dharok's helm 100;Dharokin ruori 100
Dharok's platebody 0;Dharokin levyrunko 0
Dharok's platebody 50;Dharokin levyrunko 50
Dharok's helm 0;Dharokin ruori 0
Dharok's helm 25;Dharokin ruori 25
Dharok's helm 50;Dharokin ruori 50
Dharok's helm 75;Dharokin ruori 75
Dharok's platebody;Dharokin levyrunko
Dharok's platebody 100;Dharokin levyrunko 100
Dharok's platelegs;Dharokin levyjalat
Dharok's platelegs 0;Dharokin levyjalat 0
Dharok's platelegs 100;Dharokin levyjalat 100
Diamond amulet;Timantti amuletti
Dharok's platebody 75;Dharokin levyrunko 75
Dharok's platelegs 25;Dharokin levyjalat 25
Dharok's platelegs 50;Dharokin levyjalat 50
Diamond;Timantti
Dharok's platelegs 75;Dharokin levyjalat 75
Diamond amulet (u);Timanttiamuletti (u)
Diamond dragon bolts;Timantti lohikäärme pultit
Diamond bauble;Timanttikoru
Diamond bolts (e);Timanttipultit (e)
Diamond dragon bolts (e);Timanttilohikäärmepultit (e)
Diamond bracelet;Timantti rannekoru
Diamond ring;Timanttisormus
Diamond necklace;Timanttikaulakoru
Diamond bolts;Timanttipultit
Diamond bolt tips;Timanttipulttien kärjet
Diango's claws;Diangon kynnet
Digsite pendant (5);Digsite-riipus (5)
Digsite teleport;Digitaalinen teleportti
Dinh's hammer;Dinhin vasara
Dinh's bulwark;Dinhin vartio
Diary;Päiväkirja
Digsite pendant (2);Digsite-riipus (2)
Dining room;Ruokasali
Digsite pendant (4);Digsite-riipus (4)
Digsite pendant (1);Digsite-riipus (1)
Digsite pendant (3);Digsite-riipus (3)
Distillator;Tislauskone
Disk of returning;Palautuslevy
Dirty blast;Likainen räjähdys
Divine bastion potion(2);Jumalallinen linnakejuoma(2)
Display cabinet key;Näytön kaapin avain
Divine bastion potion(3);Jumalallinen linnakejuoma(3)
Directionals;Ohjeet
Directions;Ohjeet
Dirty robe;Likainen kaapu
Divine bastion potion(1);Jumalallinen linnakejuoma(1)
Divine magic potion(2);Jumalallinen taikajuoma (2)
Divine battlemage potion(1);Jumalallinen taistelumage juoma (1)
Divine bastion potion(4);Jumalallinen linnakejuoma(4)
Divine battlemage potion(3);Jumalallinen taistelumage juoma (3)
Divine battlemage potion(2);Jumalallinen taistelumage juoma (2)
Divine ranging potion(1);Jumalallinen juoma (1)
Divine magic potion(1);Jumalallinen taikajuoma (1)
Divine magic potion(4);Jumalallinen taikajuoma (4)
Divine magic potion(3);Jumalallinen taikajuoma (3)
Divine battlemage potion(4);Jumalallinen taistelumage juoma (4)
Divine super attack potion(1);Jumalallinen superhyökkäysjuoma(1)
Divine super attack potion(4);Jumalallinen superhyökkäysjuoma(4)
Divine super combat potion(3);Jumalallinen supertaistelujuoma(3)
Divine ranging potion(3);Jumalallinen juoma (3)
Divine ranging potion(4);Jumalallinen juoma (4)
Divine super attack potion(2);Jumalallinen superhyökkäysjuoma(2)
Divine super combat potion(2);Jumalallinen supertaistelujuoma(2)
Divine super attack potion(3);Jumalallinen superhyökkäysjuoma(3)
Divine ranging potion(2);Jumalallinen juoma (2)
Divine super combat potion(1);Jumalallinen supertaistelujuoma(1)
Divine super defence potion(3);Jumalallinen superpuolustusjuoma(3)
Divine super strength potion(4);Jumalallinen supervoimajuoma(4)
Divine super defence potion(4);Jumalallinen superpuolustusjuoma(4)
Divine super strength potion(3);Jumalallinen supervoimajuoma(3)
Divine super defence potion(1);Jumalallinen superpuolustusjuoma(1)
Diving apparatus;Sukelluslaitteet
Divine super defence potion(2);Jumalallinen superpuolustusjuoma(2)
Divine super strength potion(1);Jumalallinen supervoimajuoma(1)
Divine super strength potion(2);Jumalallinen supervoimajuoma(2)
Divine super combat potion(4);Jumalallinen supertaistelujuoma(4)
Doctor's hat;Lääkärin hattu
Doll of iban;Ibanin nukke
Diving helmet;Sukelluskypärä
Dodgy necklace;Näppärä kaulakoru
Doogle leaves;Doogle lähtee
Documents;Asiakirjat
Dock leaf;Laiturin lehti
Door key;Oven avain
Door transcription;Oven transkriptio
Dorgesh-kaan sphere;Dorgesh-kaan pallo
Dragon arrow;Lohikäärmeen nuoli
Dragon arrow(p);Lohikäärmeen nuoli (p)
Dorgeshuun crossbow;Dorgeshuun varsijousi
Dossier;Asiakirja
Dragon arrow(p+);Lohikäärmeen nuoli (p+)
Double eye patch;Kaksinkertainen silmälappu
Dragon armour set (sk);Lohikäärmepanssarisarja (sk)
Dragon armour set (lg);Lohikäärmepanssarisarja (lg)
Draconic visage;Drakoninen visio
Dragon 2h sword;Dragon 2h miekka
Dragon axe head;Lohikäärmeen kirves pää
Dragon bitter;Lohikäärme katkera
Dragon bitter(3);Lohikäärme katkera (3)
Dragon arrowtips;Lohikäärmeen nuolenpäät
Dragon axe (or);Lohikäärmekirves (tai)
Dragon arrow(p++);Lohikäärmeen nuoli (p++)
Dragon bitter(1);Lohikäärme katkera (1)
Dragon battleaxe;Lohikäärmeen taistelukirves
Dragon axe;Lohikäärmeen kirves
Dragon bitter(2);Lohikäärme katkera (2)
Dragon bitter(m);Dragon bitter (m)
Dragon bolts (p);Dragon pultit (p)
Dragon bolts (p++);Dragon pultit (p++)
