A Clam Shell;Ett musslaskal
Dead Body;Död kropp
Dead Calquat;Död Calquat
Dead Elf;Död tomte
Dead Explorer;Död utforskare
Dead Hammerstone Hops;Död Hammerstone Humle
Dead Iasor plant;Död Iasor-växt
Dead Jute;Död jute
Dead Krandorian Hops;Död Krandorian Humle
Dead Kronos plant;Död Kronos anläggning
Dead Magic Tree;Dött magiskt träd
Dead Mahogany;Död mahogny
Dead Maple;Död lönn
Dead Oak;Död ek
Dead Poison Ivy bush;Död Poison Ivy buske
Dead Potato cactus;Död potatis kaktus
Dead Redwood tree;Dött Redwood-träd
Dead Snape grass;Dött Snape gräs
Dead Spirit Tree;Dead Spirit Tree
Dead Teak;Död teak
Dead Tree;Dött träd
Dead White lily;Död vit lilja
Dead Wildblood Hops;Död vildblodshumle
Dead Willow;Död Willow
Dead Yanillian Hops;Död Yanillian humle
Dead Yew;Död Yew
Dead Yommi;Död Yommi
Dead Yommi sapling;Död Yommi planta
Dead apple tree;Dött äppelträd
Dead banana tree;Dött bananträd
Dead bat;Död fladdermus
Dead cabbages;Döda kålar
Dead cactus;Död kaktus
Dead cadavaberry bush;Död kadaverbuske
Dead calquat;Död calquat
Dead celastrus tree;Dött celastrus träd
Dead curry tree;Dött curryträd
Dead dragonfruit plant;Död drakfruktväxt
Dead dwellberry bush;Död husbärsbuske
Dead goutweed;Död giktweed
Dead hardy goutweed;Död tålig gikt
Dead herbs;Döda örter
Dead jangerberry bush;Död jangerbärsbuske
Dead limpwurt plant;Död limpwurtväxt
Dead marigold;Död ringblomma
Dead mushroom ring;Död svampring
Dead nasturtium;Död nasturtium
Dead onions;Döda lökar
Dead orange tree;Dött apelsinträd
Dead palm tree;Död palm
Dead papaya tree;Dött papayaträd
Dead pineapple plant;Död ananasväxt
Dead potatoes;Död potatis
Dead redberry bush;Död rödbärsbuske
Dead rosemary;Död rosmarin
Dead seaweed;Döda tång
Dead sourhog;Död sursvin
Dead strawberry plant;Död jordgubbsplanta
Dead sweetcorn plant;Död majsväxt
Dead tomato plant;Död tomatplanta
Dead tree;Dött träd
Dead tree stump;Död trädstubbe
Dead vine;Död vinstock
Dead watermelons;Döda vattenmeloner
Dead whiteberry bush;Död vitbärsbuske
Dead woad plant;Död vedväxt
Deadfall;Dödfall
Deadman Supply Chest;Deadman Supply Chest
Deadman chest;Deadman kista
Deadman display;Deadman display
Death rift;Dödsspricka
Death's Coffer;Dödskassa
Death's Domain;Dödens domän
Death's domain;Dödens domän
Debris;Skräp
Decaying trunk;Förmultnande stam
Deckchair;Solstol
Decorated limestone fireplace;Dekorerad öppen spis i kalksten
Decorated marble fireplace;Dekorerad öppen spis i marmor
Decorated wall;Dekorerad vägg
Decoration;Dekoration
Decoration space;Dekorationsutrymme
Decorative window;Dekorativt fönster
Defender item machine;Defender objekt maskin
Delphinium patch;Delphinium-plåster
Delphiniums;Delphiniums
Demon;Demon
Demonic Symbol;Demonisk symbol
Dense Jungle;Tät djungel
Dense forest;Tät skog
Dense runestone;Tät runsten
Depleted Rock;Utarmad sten
Depleted runestone;Utarmad runsten
Depleted vein;Utarmad ven
Deposit Box;Inlåningsbox
Desecrated house;Skändat hus
Desert painting;Ökenmålning
Desk;Skrivbord
Destroyed bird hide;Förstört fågelgömma
Destroyed furniture;Förstörda möbler
Device;Anordning
Dial;Ringa
Dice;Tärningar
Dig Site specimen rocks;Gräv stenar från platsen
Digsite Pendant;Digsite hängsmycke
Dim crystal;Dim kristall
Dirt;Smuts
Diseased Asgarnian Hops;Sjuk Asgarnian humle
Diseased Barley;Sjukt korn
Diseased Belladonna;Sjuka Belladonna
Diseased Bittercap Mushrooms;Sjuka Bittercap-svampar
Diseased Calquat;Sjuk Calquat
Diseased Grapevines;Sjuka vinrankor
Diseased Hammerstone Hops;Sjuk hammarstenshumle
Diseased Jute;Sjuk jute
Diseased Krandorian Hops;Sjuk Krandorian humle
Diseased Magic Tree;Sjukt magiskt träd
Diseased Mahogany;Sjuk mahogny
Diseased Maple;Sjuk lönn
Diseased Oak;Sjuk ek
Diseased Poison Ivy bush;Sjuk Poison Ivy buske
Diseased Potato cactus;Sjuk potatis kaktus
Diseased Redwood tree;Sjukt Redwoodträd
Diseased Snape grass;Sjukt Snape gräs
Diseased Spirit Tree;Sjukt andeträd
Diseased Teak;Sjuk teak
Diseased White lily;Sjuk vit lilja
Diseased Wildblood Hops;Sjuk vildblodshumle
Diseased Willow;Sjuk pil
Diseased Yanillian Hops;Sjuk Yanillian humle
Diseased Yew;Sjuk idegran
Diseased apple tree;Sjukt äppelträd
Diseased banana tree;Sjukt bananträd
Diseased cabbages;Sjuka kålar
Diseased cactus;Sjuk kaktus
Diseased cadavaberry bush;Sjuk kadavabärsbuske
Diseased calquat;Sjuk calquat
Diseased celastrus tree;Sjukt celastrusträd
Diseased curry tree;Sjukt curryträd
Diseased dragonfruit plant;Sjuk dragonfruit växt
Diseased dwellberry bush;Sjuk dwellberry buske
Diseased goutweed;Sjuk gikt
Diseased hardy goutweed;Sjuk härdig gikt
Diseased herbs;Sjuka örter
Diseased jangerberry bush;Sjuk jangerbärsbuske
Diseased limpwurt plant;Sjuk limpwurtväxt
Diseased marigold;Sjuk ringblomma
Diseased nasturtium;Sjuk nasturtium
Diseased onions;Sjuk lök
Diseased orange tree;Sjukt apelsinträd
Diseased palm tree;Sjuk palm
Diseased papaya tree;Sjukt papayaträd
Diseased pineapple plant;Sjuk ananasväxt
Diseased potatoes;Sjuk potatis
Diseased redberry bush;Sjuk rödbärsbuske
Diseased rosemary;Sjuk rosmarin
Diseased seaweed;Sjukt tång
Diseased strawberry plant;Sjuk jordgubbsplanta
Diseased sweetcorn plant;Sjuk majsväxt
Diseased tomato plant;Sjuk tomatplanta
Diseased watermelons;Sjuka vattenmeloner
Diseased whiteberry bush;Sjuk vitbärsbuske
Diseased woad plant;Sjuk skogväxt
Dishes;Disk
Display Case;Display Fall
Display board;Utställningstavla
Display case;Vitrinskåp
Display space;Utställningsutrymme
Display table;Visa bord
Disturbed sand;Störd sand
Dock Leaf;Dock Leaf
Dock leaf plant;Dockbladsväxt
Dodgy ground;Tveksam mark
Dolls and balls;Dockor och bollar
Dolmen;Dolmen
Dolphin;Delfin
Domination marker;Dominans markör
Dominic's coffer;Dominics kassa
Door;Dörr
Door hotspot;Dörr hotspot
Door space;Dörrutrymme
Doors;Dörrar
Doors of Dinh;Dörrar i Dinh
Doorway;Dörröppning
Doric's Whetstone;Doric's Whetstone
Double bed;Dubbelsäng
Dragon Bitter;Dragon Bitter
Dragon bitter;Drake bitter
Dragon corpse;Dragon lik
Dragon egg;Drakeägg
Dragon head;Drakhuvud
Dragon statue;Drakestaty
Dragon trophy display;Dragon trofé display
Dragon's head;Drakhuvud
Dragonfire;Dragonfire
Dragonfly;Trollslända
Dragonfruit tree;Drakfruktträd
Dragonfruit tree stump;Drakfruktträdstubb
Dragonhide Leather;Dragonhide Läder
Drain;Dränera
Drain Pipe;Avloppsrör
Drained Crystal;Dränerad kristall
Dramen tree;Dramen träd
Drapes;Draperier
Drawer space;Lådutrymme
Drawers;Lådor
Draynor Manor Portal;Draynor Manor Portal
Dream List;Drömlista
Dream Tree stump;Drömträdstubb
Dream puff;Drömpuff
Dream tree;Drömträd
Dresser;Kommod
Dresser space;Kommod utrymme
Drift net (full);Drivnät (full)
Drift net anchors;Drivnätsankare
Driftwood;Drivved
Drill;Borra
Drilling machine;Borrmaskin
Drip;Dropp
Dripping tendrils;Droppande rankor
Dripping vine;Droppande vinstockar
Drips;Droppar
Drive belt;Drivrem
Druid's robes;Druids dräkter
Drunken Dwarf;Berusad dvärg
Dry patch;Torr lapp
Dry stone wall;Torr stenmur
Drying line;Torklinje
Dug hole;Grävt hål
Dummy;Dummy
Dung;Dynga
Dungeon door;Dungeon dörr
Dungeon entrance;Ingång till fängelsehålan
Dusk;Skymning
Dwarf;Dvärg
Dwarf Flag;Dvärgflagga
Dwarf MultiCannon;Dwarf MultiCannon
Dwarf bath;Dvärgbad
Dwarf mirror;Dvärgspegel
Dwarf multicannon;Dvärg multikanon
Dwarf remains;Dvärg kvar
Dwarf statue;Dvärgstaty
Dwarven Consortium Table;Dwarven Consortium Tabell
Dwarven Stout;Dwarven Stout
Dwarven machinery;Dvärgmaskineri
Dwellberry bush;Dwellberry buske
Dye Pots;Färga krukor
Dyed fabric;Färgat tyg
Dying tree;Döende träd
Dying tree Stump;Döende trädstubb
Eagle lever;Eagle spak
Earth Mound;Jordhög
Earth rift;Jordspricka
Easel;Staffli
Ectofuntus;Ectofuntus
Edge;Kant
Eerie statue;Hemsk staty
Efh salt;Eh salt
Egg;Ägg
Egg Sac;Äggpåse
Egg hopper;Äggbehållare
Egg launcher;Äggkastare
Egg sac;Äggpåse
Eggs;Ägg
Egniol Potions;Egniol Potions
Eight;Åtta
Elaborate lockbox;Genomarbetad låslåda
Electrified harpoonfish cannon;Elektrifierad harpunfiskkanon
Elemental balance;Elementär balans
Elemental balance space;Elementärt balansutrymme
Elemental sphere;Elementär sfär
Elevator;Hiss
Elevator controls;Hisskontroller
Elf Flag;Elf Flagga
Elidinis Statuette;Elidinis statyett
Elite clue scroll display;Elite ledtråd rullningsdisplay
Elizabeth's barrel;Elizabeths tunna
Elven Crystal Chest;Elven Crystal Kista
Elven lamp;Alvlampa
Embalming tube;Balsameringsrör
Embers;Glöd
Empty Sack;Tom säck
Empty Sarcophagus;Tom Sarkofag
Empty Stall;Tomt stall
Empty ash pile;Tom askhög
Empty barrel;Tom tunna
Empty basket;Tom korg
Empty chest;Tom bröstkorg
Empty clothes;Tomma kläder
Empty desk;Tomt skrivbord
Empty lamp;Tom lampa
Empty pedestal;Tom piedestal
Empty pool;Tom pool
Empty rack;Tomt ställ
Empty sac;Tom påse
Empty sack;Tom säck
Empty wall;Tom vägg
Enchanters Teleport;Enchanters Teleport
End of bridge;Slutet på bron
Energy Barrier;Energibarriär
Energy Pylon;Energipylon
Energy Sphere;Energisfär
Energy well;Energi bra
Engine Platform;Motorplattform
Entrance;Ingång
Equipment;Utrustning
Equipment table;Utrustningsbord
Eric;Erik
Escape rope;Utrymningsrep
Evergreen;Evergreen
Evil Dave;Onda Dave
Evil claw;Onda klo
Evil eye decoration;Onda ögat dekoration
Excalibur;Excalibur
Exercise mat;Träningsmatta
Exhumed;Uppgrävd
Exit;Utgång
Exit Sign;Avsluta tecken
Exit Teleport;Avsluta Teleport
Exit cavern;Gå ur grottan
Exit door;Utgångsdörr
Exit path;Avsluta vägen
Exit portal;Avsluta portalen
Experiment booth;Experimentbås
Experiment cabinet;Experimentskåp
Experiment table;Experimenttabell
Experiment tube;Experimentrör
Explosion;Explosion
Explosive potion table;Bord för explosiva drycker
Extra anchor;Extra ankare
Extra chain;Extra kedja
Extractor gun;Extraktionspistol
Extractor hat;Extraktorhatt
Extractor hat-top;Extraktor hatt-top
Eye;Öga
Eyes;Ögon
Fabric;Tyg
Fabric rack;Tygställ
Fairly dark crystal;Ganska mörk kristall
Fairy Queen;Fairy Queen
Fairy Queen throne;Fairy Queen tronen
Fairy bank;Fairy bank
Fairy fountain;Fe fontän
Fairy house;Fehus
Fairy market stall;Fairy marknadsstånd
Fairy ring;Fairy ring
Fairy workbench;Fairy arbetsbänk
Falador Portal;Falador portal
Fallen Tree;Fallet träd
Fallen Wall;Fallen vägg
Fallen soldier;Fallen soldat
Fallen statue;Fallen staty
Fallen tree;Fallet träd
Falling door;Fallande dörr
Falling rock;Fallande sten
Fan blade;Fläktblad
Fancy Jewellery Box;Snygg smyckeskrin
Fancy dress box;Fancy dress box
Fancy dress box space;Fancy dress box plats
Fancy pool of Rejuvenation;Fancy pool av föryngring
Fancy range;Snyggt utbud
Farm door;Gårdsdörr
Farming patch;Farming patch
Feathers;Fjädrar
Felled Yommi tree;Fällde Yommi-träd
Fence;Staket
Fence bits;Stängselbitar
Fence corner;Staket hörn
Fence end;Staketslut
Fence mid;Staket mitt
Fence space;Staket utrymme
Fence t-piece;Staket t-stycke
Fencing;Fäktning
Fencing ring;Fäktning ring
Fenkenstrain's Castle Portal;Fenkenstrains slottsportal
Fermenting Vat;Jäsande Vat
Fern;Ormbunke
Ferry;Färja
Fertile Soil;Grogrund
Figurehead;Galjonsfigur
Filled Recess;Fylld fördjupning
Final Pillar;Sista pelaren
Fire;Brand
Fire Wall;Brandmur
Fire altar;Eldaltare
Fire of Dehumidification;Avfuktningsbrand
Fire of Domination;Dominans eld
Fire of Eternal Light;Det eviga ljusets eld
Fire of Nourishment;Näringseld
Fire of Unseasonal Warmth;Eld av osäsongsbetonad värme
Fire pit;Eldstad
Fire remains;Eld kvarstår
Fire rift;Eldspricka
Fire trap;Brandfälla
Firebox;Eldstad
Firepit;Eldstad
Firepit with hook;Eldstad med krok
Firepit with pot;Eldstad med gryta
Fireplace;Öppen spis
Fireplace space;Öppen spis utrymme
Fireplace surround;Öppen spis surround
Firm snow patch;Fast snöfläck
First aid box;Första hjälpen box
Fish;Fisk
Fish basket;Fiskkorg
Fish bits;Fiskbitar
Fish bowl;Fiskskål
Fish stall;Fiskstall
Fishing Contest Banner;Banner för fisketävling
Fishing Crane;Fiskekran
Fishing Guild Portal;Fishing Guild Portal
Fishing Spot;Fiskeplats
Fishing Spot (Depleted);Fiskeplats (utarmad)
Fishing net;Fisknät
Fishing rod;Metspö
Fishing spot;Fiskeplats
Fishing trophy space;Fisketroféutrymme
Fishing weights;Fiskevikter
Fissure;Spricka
Five;Fem
Fixed bridge;Fast bro
Flag;Flagga
Flagpole;Flaggstång
Flames;Lågor
Flaming Fire altar;Flammande eld altare
Flashing landing light;Blinkande landningsljus
Flat ground;Plan mark
Flat rock;Platt sten
Flat stone;Platt sten
Flax;Lin
Floating Book;Flytande bok
Floats;Flyter
Floor;Golv
Floor below;Våningen under
Floor decoration;Golvdekoration
Floor space;Golvyta
Floor space corner;Golvyta hörn
Floor space mid;Golvyta mitten
Floor space side;Golvyta sida
Floor spikes;Golvspikar
Floor tile;Golv klinker
Floorboards;Golvbrädor
Flour;Mjöl
Flour bin;Mjöllåda
Flower;Blomma
Flower Patch;Flower Patch
Flowerbed;Rabatt
Flowering fern;Blommande ormbunke
Flowers;Blommor
Flute;Flöjt
Fly paper;Flugpapper
Fly trap;Flugfälla
Fog marker;Dimmarkör
Font;Font
Food Stall;Matbod
Food Trough;Mattråg
Food chute;Matränna
Food cupboard;Matskåp
Food trough;Mattråg
Foot lockers;Fotskåp
Footprints;Fotspår
Forest Mushrooms;Skogssvampar
Forest floor;Skogsbotten
Formidable passage;Formidabel passage
Fortified gate;Förstärkt port
Fossil Island display case;Fossil Island monter
Fossil Storage;Fossil lagring
Fossil cleaning bench;Fossil rengöringsbänk
Fossil fuel;Fossilt bränsle
Fountain;Fontän
Fountain of Heroes;Hjältarnas fontän
Fountain of Rune;Runefontän
Fountain of Uhld;Uhlds fontän
Four;Fyra
Fox;Räv
Fractionalising still;Fraktionering fortfarande
Fragment of Seren;Fragment av Seren
Frame;Ram
Frank's barrel;Franks tunna
Free-for-all portal;Gratis-för-alla-portal
Fremennik Boat;Fremennik båt
Fremennik boat;Fremennik båt
Frog;Groda
Frog spit;Grodspott
Frozen Pool of Rejuvenation;Fryst pool av föryngring
Frozen Pool of Restoration;Fryst pool av restaurering
Frozen Pool of Revitalisation;Frozen Pool of Revitalization
Frozen demon;Frusen demon
Frozen door;Frusen dörr
Frozen fancy pool of Rejuvenation;Fryst fancy pool of Rejuvenation
Frozen orc;Fryst orc
Frozen ornate pool of Rejuvenation;Frusen utsmyckad pool av föryngring
Frozen table;Fruset bord
Frozen warrior;Frusen krigare
Fruit Stall;Fruktstall
Fruit Tree Patch;Fruit Tree Patch
Fruit cart;Fruktvagn
Full fishing net;Fullt fiskenät
Funeral Pyre;Begravningsbål
Fungi;Svampar
Fungi on log;Svampar på stock
Fungus;Svamp
Fungus covered Cavern wall;Svamp täckt Cavern vägg
Fungus doormat;Svamp dörrmatta
Fungus pattern;Svampmönster
Fungus seat;Svampsits
Fur stall;Päls stall
Furnace;Ugn
Furnace Coolant;Ugnskylvätska
Fuse;Säkring
G.A.G. banner;GAG. baner
Gabion defence;Gabion försvar
Gallows;Galge
Game space;Spelutrymme
Gangplank;Landgång
Gap;Gap
Garden fence;Trädgårdsstängsel
Gas bubble;Gasbubbla
Gas cylinder;Gasflaska
Gas hole;Gashål
Gate;Gate
Gate of War;Krigets port
Gates;Portar
Gauntlet Portal;Gauntlet Portal
Gazebo;Lusthus
Gear box;Växellåda
Gem Rock;Gem Rock
Gem Stall;Gem Stall
Gem stall;Gem stall
General Bentnoze;General Bentnoze
General Graardor display;General Graardor display
General Stall;General Stall
General Wartface;General Wartface
Generator;Generator
Geyser;Gejser
Ghorrock Portal;Ghorrock Portal
Giant Anvil;Jätte städ
Giant Boulder;Giant Boulder
Giant Dwarf;Jätte dvärg
Giant anvil;Jättestädet
Giant crystal;Jättekristall
Giant feathers;Jätte fjädrar
Giant vial;Jätteflaska
Gibbet;Galge
Gift of Peace;Fredens gåva
Gigantic penguin;Gigantisk pingvin
Gilded Adventure Log;Förgylld äventyrslogg
Gilded bench;Förgylld bänk
Gilded cape rack;Förgylld uddeställ
Gilded stand;Förgyllt stativ
Gilded wardrobe;Förgylld garderob
Glarial's Tomb;Glarials grav
Glarial's Tombstone;Glarials gravsten
Glass door;Glasdörr
Glass table;Glasbord
Globe;Klot
Globe of Gielinor;Globe of Gielinor
Globe space;Globe utrymme
Glouphrie statue;Glouphrie staty
Glove Rack;Handskställ
Gloves and duster;Handskar och dammduk
Glowing Carving;Glödande snideri
Glowing Fungus;Glödande svamp
Glowing Orb;Glödande Orb
Glowing carving;Glödande snideri
Glowing crystal;Glödande kristall
Glowing fungus;Glödande svamp
Glyphs;Glyfer
Gnome Flag;Gnome Flagga
Gnome Glider;Gnome Glider
Gnome barrel;Gnome tunna
Gnome barrels;Gnome tunnor
Gnome bench;Gnome bänk
Gnome cabinet;Gnome skåp
Gnome chair;Gnome stol
Gnome cooker;Gnome spis
Gnome crate;Gnome låda
Gnome crates;Gnome lådor
Gnome crowd;Gnome folkmassa
Gnome glider;Gnome glidflygplan
Gnome goal;Gnome mål
Gnome landing light;Gnome landningsljus
Gnome skeleton;Gnome skelett
Gnome statue;Gnome staty
Gnome table;Gnome bord
Goal;Mål
Goat;Get
Goat poo;Get bajs
Goblin crowd;Goblin publik
Goblin stove;Goblin spis
Gobln Merfsh;Gobln Merfsh
Godfather throne;Gudfaders tron
Gold;Guld
Gold Castlewars armour;Castlewars-rustning i guld
Gold Chest;Guldkista
Gold Screen;Guld skärm
Gold cannonball;Guld kanonkula
Golden Gnome;Gyllene Gnome
Golden cage;Gyllene bur
Golden lantern;Gyllene lykta
Golden pear bush;Gyllene päronbuske
Golden tree;Gyllene träd
Golem arm;Golem arm
Golem body;Golem kropp
Golem foot;Golem fot
Golem head;Golem huvud
Golem rubble;Golem spillror
Golf-cart;Golfbil
Golovanova plant;Golovanova växt
Golovanova seedling;Golovanova planta
Goo covered vine;Goo täckt vinstockar
Gorilla Statue;Gorilla staty
Gourd tree;Kalebassträd
Gout Tuber Plant;Giktknölsplanta
Goutweed;Goutweed
Goutweed Crate;Goutweed Crate
Grain;Spannmål
Grain of Plenty;Grain of Plenty
Grain sacks;Spannmålssäckar
Gramophone;Grammofon
Granary roof;Spannmålstak
Granary wall;Kornmagasinsvägg
Grand Exchange Portal;Grand Exchange Portal
Grand Exchange booth;Grand Exchange monter
Grand Exchange display;Grand Exchange-display
Grand Gold Chest;Stor guldkista
Grand bookshelf;Stor bokhylla
Grandfather Clock;Golvur
Grandfather clock;Golvur
Grandiose Doors;Grandiosa dörrar
Grape arbor;Druvberså
Grape vine;Vinranka
Grapevine;Vinranka
Grapevines;Vinrankor
Grass;Gräs
Grassland;Gräsmark
Grate;Galler
Grave;Grav
Grave marker;Gravmarkör
Grave of Scorpius;Scorpius grav
Gravestone;Gravsten
Graveyard Teleport;Graveyard Teleport
Great Olm display;Fantastisk Olm-skärm
Great Olmic Statue;Stor Olmic staty
Greater magic circle;Större magisk cirkel
Greater teleport focus;Större teleporteringsfokus
Green banner;Grön banderoll
Green chemical;Grön kemikalie
Green door;Grön dörr
Green tears;Gröna tårar
Greenman's ale;Greenman's ale
Greenmans Ale;Greenmans Ale
Grill;Grill
Grim lilly;Grim lilly
Grimgnash;Grimgnash
Grinder;Kvarn
Grotesque Guardians' display;Groteska väktarnas uppvisning
Grotto;Grotta
Grotto tree;Grottoträd
Growing vine;Växande vinstockar
Growing wheat;Odla vete
Grubby Chest;Smutsig bröstkorg
Grubby Door;Smutsig dörr
Grym Root;Grym Root
Grym Root (Depleted);Grym Root (utarmad)
Guard;Skydda
Guard dog;Vakthund
Guard space;Vaktutrymme
Guide rope;Styrrep
Guild Door;Guild Dörr
Guild door;Guild dörr
Guild trophy space;Guild troféutrymme
Guitar;Gitarr
Gun Locker;Vapenskåp
Guthix Portal;Guthix portal
Haar-Tok;Haar-Tok
Habitat space;Habitat utrymme
Half-built Loom;Halvbyggd vävstol
Hammer;Hammare
Hammers;Hammare
Hammerstone Hops;Hammerstone humle
Hammock;Hängmatta
Hand holds;Hand håller
Handholds;Handtag
Handle;Hantera
Handy portal;Praktisk portal
Hanger;Galge
Hanging;Hängande
Hanging banner;Hängande banderoll
Hanging cape;Hängande cape
Hanging dye;Hängande färgämne
Hanging flag;Hängande flagga
Hanging hand;Hängande hand
Hanging log;Hängande stock
Hanging meat;Hängande kött
Hanging pirate;Hängande pirat
Hanging tapestry;Hängande gobeläng
Hanging wheel;Hängande hjul
Hangman game;Hangman spel
Hank (Well);Hank (tja)
Hank (ghastly!);Hank (hemskt!)
Hank (sick);Hank (sjuk)
Hank (very sick);Hank (mycket sjuk)
Hard rock;Hårdrock
Hardcore Ironman;Hardcore Ironman
Hardwood Grove Doors;Hardwood Grove Dörrar
Hardy goutweed;Härdig giktweed
Harmony Island Portal;Harmony Island Portal
Harp;Harpa
Harpoonfish cannon;Harpunfisk kanon
Harpoons;Harpuner
Harvested Celastrus tree;Skördat Celastrus-träd
Hat rack;Hatthylla
Hat stand;Hattstativ
Hatch;Kläcka
Hay Bales;Höbalar
Hay bale;Höbal
Hay bales;Höbalar
Haystack;Höstack
Hazeel's coffin;Hazeels kista
Hazelmere statue;Hazelmere staty
Head trophy space;Huvud troféutrymme
Headless statue;Huvudlös staty
Healer item machine;Healer objekt maskin
Healer spring;Healer fjäder
Healing certificate;Läkeintyg
Healthorg statue;Healthorg staty
Heap of bricks;Hög av tegelstenar
Hearth;Härd
Heat;Värme
Heater;Värmare
Heather;Ljung
Heavy door;Tung dörr
Hedge;Häck
Hedging;Säkring
Hefin Banner;Hefin Banner
Hellhound;Helveteshund
Helmet pluming stand;Stativ för hjälm
Henge;Henge
Heraldry space;Heraldikutrymme
Herb;Ört
Herb Stall;Örtstall
Herb patch;Örtplåster
Herbs;Örter
Herman's desk;Hermans skrivbord
Heroic statue;Heroisk staty
Hespori;Hespori
Hespori patch;Hespori lapp
Hidden Statue;Dold staty
Hidden trapdoor;Dold fallucka
High Stakes;Höga insatser
Hill;Hill
Hillside entrance;Entré på sluttningen
History;Historia
Hobgoblin;Troll
Hoisted sail;Hissade segel
Holding area;Hållplats
Hole;Hål
Hole in the wall;Hål i väggen
Hole in wall;Hål i väggen
Hollow Log;Ihålig stock
Hollow log;Ihålig stock
Hollow tree;Ihåligt träd
Hollowed rock;Ihålig sten
Holy Barrier;Helig barriär
Holy barrier;Helig barriär
Hook briar;Hook briar
Hoop Snake;Hoop Snake
Hope bridge;Hope bridge
Hopper;Ficka
Hopper controls;Behållarens kontroller
Hops Patch;Humle Patch
Horn of Death;Dödens horn
Horn of glory;Ärans horn
Hosidius statue;Hosidius staty
Hospital shelves;Sjukhushyllor
Hot Coals;Heta kol
Hot vent door;Varm ventilationsdörr
House Advertisement;Husannons
Howling Snow Storm;Ytande snöstorm
Huge Gate;Enorma port
Huge Mushroom;Enorm svamp
Huge Spider;Stor spindel
Huge plant;Enorm växt
Huge vat;Enormt vat
Hull;Skrov
Human Flag;Mänsklig flagga
Hurdle;Hinder
Hurt fairy;Sårad älva
Hutch;Kaninbur
Iasor plant;Iasor anläggning
Iban's Throne;Ibans tron
Ice;Is
Ice Column;Ispelare
Ice Light;Ice Light
Ice Throne;Ice Throne
Ice Troll King;Ice Troll King
Ice blockage;Isblockering
Ice bridge;Isbro
Ice chunks;Isbitar
Ice covered boulder;Istäckt stenblock
Ice crystal;Iskristall
Ice cube;Isbit
Ice gate;Isport
Ice ledge;Iskant
Ice steps;Issteg
Ice storm;Isstorm
Icicle;Istapp
Icicles;Istappar
Icon of Bob;Ikon för Bob
Icon of Gnome Child;Ikon för Gnome Child
Icon of Guthix;Ikon av Guthix
Icon of Saradomin;Ikon för Saradomin
Icon of Zamorak;Ikon för Zamorak
Icon space;Ikon utrymme
Icosahedron Pile;Icosahedron hög
Icthlarin's statue;Icthlarins staty
Icy Cavern;Icy Cavern
Icy rock;Iskall sten
Icy rocks;Isiga stenar
Icyene Statue;Icyene staty
Igloo;Igloo
Illuminated Symbol;Upplyst symbol
Imposing Doors;Imponerande dörrar
Inactive Symbol;Inaktiv symbol
Inanimate Altar;Leva altare
Incense burner;Rökelse brännare
Incinerator;Förbränningsugn
Incomplete map;Ofullständig karta
Inconspicuous bush (beginner);Osynlig buske (nybörjare)
Inconspicuous bush (easy);Osynlig buske (lätt)
Inconspicuous bush (elite);Osynlig buske (elit)
Inconspicuous bush (hard);Osynlig buske (hård)
Inconspicuous bush (master);Osynlig buske (mästare)
Inconspicuous bush (medium);Osynlig buske (medium)
Inconspicuous crate (easy);Osynlig låda (lätt)
Inconspicuous crate (elite);Osynlig låda (elit)
Inconspicuous crate (hard);Osynlig låda (hård)
Inconspicuous crate (master);Osynlig låda (mästare)
Inconspicuous crate (medium);Osynlig låda (medium)
Inconspicuous hole (easy);Osynligt hål (lätt)
Inconspicuous hole (elite);Omärkligt hål (elit)
Inconspicuous hole (hard);Osynligt hål (hårt)
Inconspicuous hole (master);Osynligt hål (master)
Inconspicuous hole (medium);Osynligt hål (medium)
Inconspicuous rocks (easy);Osynliga stenar (lätt)
Inconspicuous rocks (elite);Omärkliga stenar (elit)
Inconspicuous rocks (hard);Omärkliga stenar (hårda)
Inconspicuous rocks (master);Omärkliga stenar (mästare)
Inconspicuous rocks (medium);Osynliga stenar (medium)
Incubation chamber;Inkubationskammare
Incubator;Inkubator
Infernal chart;Infernaliska diagram
Information;Information
Information Scroll;Information Scroll
Information booth;Informationsbås
Information scroll;Informationsrulla
Injured fairy;skadad älva
Insurance stall;Försäkringsstånd
Interdimensional rift;Interdimensionell spricka
Intermediate Flag;Mellanliggande flagga
Interrogation chair;Förhörsstol
Iorwerth Banner;Iorwerth Banner
Iron Winch;Järnvinsch
Iron ladder;Järnstege
Iron railings;Räcke av järn
Ironman & Ultimate Ironwoman;Ironman & Ultimate Ironwoman
Isafdar painting;Isafdar målning
Item Chest;Artikelkista
Ithell Banner;Ithell Banner
Ivory table;Elfenben bord
Jacky Jester;Jacky Jester
Jagged wall;Ojämn vägg
Jail Door;Fängelsedörr
Jangerberry bush;Jangerbärsbuske
Javelin;Spjut
Jenkins;Jenkins
Jewellery box space;Smyckeskrin utrymme
Jewellery stall;Smyckesbod
Jolly Roger;Jolly Roger
Juliet;Juliet
Juna;Juna
Junction box;Kopplingsdosa
Jungle Bush;Djungel Bush
Jungle Flower;Djungelblomma
Jungle Grass;Djungelgräs
Jungle Palm;Djungelpalm
Jungle Plant;Djungelväxt
Jungle Tree;Djungelträd
Jungle Tree Stump;Djungelträdstubb
Jungle flower;Djungelblomma
Jungle plant;Djungelväxt
Junk;Skräp
