A Goblin standard;Um padrão Goblin
Crystal Deposit (Depleted);Depósito de Cristal (esgotado)
Crystal Singing Recipes;Receitas de canto de cristal
Cooking range;Gama de cozinha
Crane;Guindaste
Crate;Caixa
Daisies;Margaridas
Darklight;Luz negra
Dead Magic Tree;Árvore Mágica Morta
Dead Maple;Bordo Morto
Dead dwellberry bush;Arbusto de moramora morto
Curtains;Cortinas
Damaged Table;Mesa danificada
Dark hole;Buraco escuro
Dead limpwurt plant;Planta morta de limpwurt
Cutting Table;Mesa de corte
Dagannoth;Dagannoth
Damaged Mast;Mastro danificado
Damaged armour;Armadura danificada
Dartboard;Alvo de dardos
Dead Body;Cadáver
Dead Teak;Teca morta
Dead Yew;Teixo morto
Dead bat;Morcego morto
Damaged totem pole;Totem danificado
Dawn;Alvorecer
Dead Barley;Cevada Morta
Dead Oak;Carvalho Morto
Dead Spirit Tree;Árvore do Espírito Morto
Dead White lily;Lírio branco morto
Dead curry tree;Árvore de curry morta
Dead hardy goutweed;Gota resistente morta
Dead marigold;Calêndula morta
Dead onions;Cebolas mortas
Dead orange tree;Laranjeira morta
Curved bone;Osso curvo
Damaged Earth;Terra danificada
Dead Krandorian Hops;Lúpulos Krandorianos Mortos
Dead potatoes;Batatas mortas
Curry tree stump;Toco de curry
Daconia rocks;Rochas dacônias
Dairy Cow;Vaca leiteira
Danger Sign;Sinal de perigo
Danger sign;Sinal de perigo
David's barrel;O barril de David
Dead Bittercap Mushrooms;Cogumelos Mortos Bittercap
Dead Elf;Elfo Morto
Dead Yommi sapling;Muda de Yommi morta
Dead apple tree;Macieira morta
Dead goutweed;Gota morta
Dead jangerberry bush;Arbusto jangerberry morto
Curtain space;Espaço de cortina
Dairy cow;Vaca leiteira
Dead Snape grass;Grama morta de Snape
Dead nasturtium;Capuchinha morta
Dead papaya tree;Mamão morto
Dead Explorer;Explorador Morto
Dead dragonfruit plant;Planta de fruta-dragão morta
Daeyalt Essence;Essência Daeyalt
Dead Mahogany;Mogno Morto
Dead celastrus tree;Árvore celastrus morta
Daeyalt rocks;Rochas Daeyalt
Dead Calquat;Calquat Morto
Dead Potato cactus;Cacto Batata Morto
Dead Tree;Árvore Morta
Dead cabbages;Couves mortas
Dead cactus;Cacto morto
Dead palm tree;Palmeira morta
Dead Hammerstone Hops;Lúpulo de Martelo Morto
Cursed Altar;Altar Amaldiçoado
Curtain;Cortina
Dead Belladonna;Beladona morta
Dead Yommi;Yommi morto
Dead mushroom ring;Anel de cogumelo morto
Cyan Crystal;Cristal Ciano
Damaged mast;Mastro danificado
Damaged wall;Parede danificada
Dark Chest;Baú Escuro
Dark tunnel;Túnel escuro
Dead Asgarnian Hops;Lúpulo Asgarniano Morto
Dead Iasor plant;Planta morta de Iasor
Dead Kronos plant;Planta morta de Kronos
Dead Redwood tree;Árvore de sequóia morta
Dead Wildblood Hops;Lúpulo Sangue Selvagem Morto
Dead Yanillian Hops;Lúpulo Yanillian Morto
Dead pineapple plant;Planta de abacaxi morta
Curry tree;Árvore de caril
Cyan crystal;Cristal ciano
Dark Altar;Altar Sombrio
Dart trap;Armadilha de dardo
Dead banana tree;Bananeira morta
Dead cadavaberry bush;Arbusto de cadavaberry morto
Dead calquat;Calquat morto
Current;Atual
Cylinder Pile;Pilha de cilindros
Daffodils;Narcisos
Dagger stall;Tenda de adaga
Damaged cart;Carrinho danificado
Dead Attas plant;Planta morta de Attas
Dead Jute;Juta Morta
Dead Poison Ivy bush;Arbusto de hera venenosa morta
Dairy churn;Batedeira de laticínios
Damaged Vent;Ventilação danificada
Dark crystal;Cristal escuro
Dead Willow;Salgueiro Morto
Dead herbs;Ervas mortas
Dead woad plant;Planta de pastel morta
Decorated limestone fireplace;Lareira de calcário decorada
Decoration;Decoração
Delphiniums;Delphiniums
Dense runestone;Pedra rúnica densa
Diseased palm tree;Palmeira doente
Dead sweetcorn plant;Planta de milho doce morta
Dead tree;Árvore morta
Dead tree stump;Toco de árvore morta
Death rift;Fenda mortal
Diseased Jute;Juta doente
Diseased Teak;Teca doente
Diseased apple tree;Macieira doente
Dead redberry bush;Arbusto de amora vermelha morto
Dead whiteberry bush;Arbusto de amora morta
Deadman Supply Chest;Baú de suprimentos do Deadman
Deadman display;Exibição de homem morto
Death's domain;Domínio da morte
Decoration space;Espaço de decoração
Demonic Symbol;Símbolo Demoníaco
Depleted runestone;Pedra rúnica esgotada
Depleted vein;Veia esgotada
Dim crystal;Cristal escuro
Diseased Krandorian Hops;Lúpulo Krandoriano doente
Diseased Yanillian Hops;Lúpulo Yanillian doente
Diseased banana tree;Bananeira doente
Dead vine;Videira morta
Decaying trunk;Tronco em decomposição
Diseased Oak;Carvalho doente
Diseased Spirit Tree;Árvore Espiritual Doente
Diseased White lily;Lírio branco doente
Diseased orange tree;Laranjeira doente
Diseased cabbages;Couves doentes
Diseased cactus;Cacto doente
Diseased hardy goutweed;Gota resistente e doente
Destroyed bird hide;Pele de pássaro destruída
Device;Dispositivo
Deadman chest;Baú do Morto
Decorated marble fireplace;Lareira decorada em mármore
Delphinium patch;Patch de Delphinium
Dig Site specimen rocks;Espécimes de rochas do local de escavação
Diseased Grapevines;Videiras doentes
Diseased goutweed;Gota doente
Diseased marigold;Calêndula doente
Dead seaweed;Algas marinhas mortas
Dead watermelons;Melancias mortas
Debris;Destroços
Dense Jungle;Selva Densa
Desk;Mesa
Diseased Asgarnian Hops;Lúpulo Asgarniano Doente
Diseased Willow;Salgueiro doente
Diseased dwellberry bush;Arbusto de moraberry doente
Diseased herbs;Ervas doentes
Diseased jangerberry bush;Arbusto de jangerberry doente
Depleted Rock;Rocha esgotada
Diseased Belladonna;Beladona doente
Diseased limpwurt plant;Planta de limpwurt doente
Dead sourhog;Marmota morta
Dead tomato plant;Planta de tomate morta
Death's Coffer;Cofre da Morte
Death's Domain;Domínio da Morte
Defender item machine;Máquina de itens de defensor
Diseased dragonfruit plant;Planta de fruta-dragão doente
Deckchair;Espreguiçadeira
Desert painting;Pintura do deserto
Digsite Pendant;Pingente de escavação
Diseased Hammerstone Hops;Lúpulo Hammerstone doente
Diseased calquat;Calquat doente
Diseased celastrus tree;Árvore celastrus doente
Diseased nasturtium;Capuchinha doente
Diseased pineapple plant;Planta de abacaxi doente
Dead rosemary;Alecrim morto
Deposit Box;Caixa de depósito
Dial;Discar
Dice;Dados
Dirt;Sujeira
Diseased Magic Tree;Árvore Mágica Doente
Diseased Poison Ivy bush;Arbusto de hera venenosa doente
Diseased Potato cactus;Cacto de batata doente
Diseased Wildblood Hops;Lúpulo de sangue selvagem doente
Dead strawberry plant;Planta de morango morta
Decorated wall;Parede decorada
Diseased Barley;Cevada doente
Diseased Bittercap Mushrooms;Cogumelos Bittercap doentes
Diseased onions;Cebolas doentes
Decorative window;Janela decorativa
Diseased Mahogany;Mogno doente
Diseased Yew;Teixo doente
Diseased papaya tree;Mamão doente
Deadfall;Morte morta
Desecrated house;Casa profanada
Destroyed furniture;Móveis destruídos
Diseased Redwood tree;Árvore de sequoia doente
Diseased curry tree;Árvore de curry doente
Demon;Demônio
Dense forest;Floresta densa
Diseased Calquat;Calquat doente
Diseased Maple;Bordo doente
Diseased Snape grass;Grama Snape doente
Diseased cadavaberry bush;Arbusto de cadavaberry doente
Dodgy ground;Terreno duvidoso
Dolphin;Golfinho
Door hotspot;Ponto de acesso da porta
Dragonfire;Fogo do Dragão
Draynor Manor Portal;Portal da Mansão Draynor
Dream puff;Sopro de sonho
Dwarf multicannon;Multicanhão anão
Dwarven Consortium Table;Mesa do Consórcio dos Anões
Eagle lever;Alavanca de águia
Dragon bitter;Dragão amargo
Drift net (full);Rede de deriva (completa)
Dyed fabric;Tecido tingido
Earth rift;Fenda da Terra
Diseased strawberry plant;Planta de morango doente
Dominic's coffer;O cofre de Dominic
Dwarf bath;Banho anão
Dwarven Stout;Cerveja Anã
Dwarven machinery;Máquinas anãs
Display board;Placa de exibição
Dream Tree stump;Toco de árvore dos sonhos
Dresser space;Espaço de cômoda
Drips;Gotejamentos
Drive belt;Correia de transmissão
Drying line;Linha de secagem
Dummy;Fictício
Dungeon entrance;Entrada da masmorra
Display case;Vitrine
Dock Leaf;Folha de doca
Dolmen;Dólmen
Dragon's head;Cabeça de dragão
Dramen tree;Árvore Dramen
Drift net anchors;Âncoras de redes de deriva
Drill;Furar
Dripping tendrils;Gavinhas pingando
Dying tree;Árvore morrendo
Display Case;Vitrine
Doric's Whetstone;Pedra de amolar dórica
Dragonfly;Libélula
Dragonfruit tree;Árvore de pitaia
Drain Pipe;Tubo de drenagem
Dripping vine;Videira pingando
Dying tree Stump;Toco de árvore morrendo
Dragon egg;Ovo de dragão
Dragon statue;Estátua de dragão
Dry patch;Mancha seca
Dwarf MultiCannon;Multicanhão Anão
Diseased redberry bush;Arbusto de amora vermelha doente
Dock leaf plant;Planta de folha de doca
Door;Porta
Doors of Dinh;Portas de Dinh
Dresser;Cômoda
Drip;Pingar
Diseased tomato plant;Planta de tomate doente
Diseased whiteberry bush;Arbusto de amora-branca doente
Display space;Espaço de exibição
Double bed;Cama de casal
Drilling machine;Máquina de perfuração
Diseased potatoes;Batatas doentes
Diseased sweetcorn plant;Planta de milho doce doente
Dwarf;Anão
Dwarf remains;Anão permanece
Dwarf statue;Estátua anã
Earth Mound;Monte Terrestre
Diseased woad plant;Planta doce doente
Domination marker;Marcador de dominação
Dragon Bitter;Dragão amargo
Dragon corpse;Cadáver de dragão
Dwarf Flag;Bandeira anã
Dye Pots;Potes de tintura
Display table;Tabela de exibição
Disturbed sand;Areia perturbada
Door space;Espaço da porta
Doorway;Entrada
Dragonhide Leather;Couro de dragão
Dungeon door;Porta da masmorra
Dwarf mirror;Espelho anão
Diseased rosemary;Alecrim doente
Diseased seaweed;Algas marinhas doentes
Dragon head;Cabeça de dragão
Dragon trophy display;Exibição de troféu de dragão
Drain;Ralo
Dream List;Lista de sonhos
Druid's robes;Vestes de Druida
Dolls and balls;Bonecas e bolas
Doors;Portas
Driftwood;Madeira flutuante
Dry stone wall;Parede de pedra seca
Dwellberry bush;Arbusto morador
Diseased watermelons;Melancias doentes
Dishes;Pratos
Dragonfruit tree stump;Toco de pitaia
Drained Crystal;Cristal Drenado
Drapes;Cortinas
Drawer space;Espaço de gaveta
Drawers;Gavetas
Dream tree;Árvore dos sonhos
Drunken Dwarf;Anão Bêbado
Dug hole;Buraco cavado
Dung;Estrume
Dusk;Crepúsculo
Eight;Oito
Empty basket;Cesta vazia
Experiment cabinet;Gabinete de experimentos
Fabric rack;Rack de tecido
Edge;Borda
Egg;Ovo
Empty pedestal;Pedestal vazio
Empty pool;Piscina vazia
Enchanters Teleport;Teleporte de Encantadores
Evil claw;Garra maligna
Extractor gun;Arma extratora
Fabric;Tecido
Fairy ring;Anel de fada
Egg sac;Saco de ovos
Embers;Brasas
Equipment table;Tabela de equipamentos
Exit door;Porta de saída
Egg hopper;Funil de ovos
Elemental balance;Equilíbrio elementar
Elite clue scroll display;Exibição de rolagem de dicas de elite
Elven Crystal Chest;Baú de Cristal Élfico
Empty wall;Parede vazia
Fairy bank;Banco de fadas
Fairy market stall;Barraca do mercado de fadas
Efh salt;Aff sal
Electrified harpoonfish cannon;Canhão de peixe-arpão eletrificado
Energy Barrier;Barreira Energética
Energy well;Energia bem
Engine Platform;Plataforma do motor
Entrance;Entrada
Evergreen;Sempre-viva
Excalibur;Excalibur
Exit Sign;Sinal de saída
Empty Stall;Tenda vazia
Empty ash pile;Pilha de cinzas vazia
Empty chest;Baú vazio
Experiment booth;Cabine de experimentos
Fairy house;Casa de fadas
Fairy workbench;Bancada de fadas
Falador Portal;Portal Falador
Empty Sack;Saco Vazio
Empty sack;Saco vazio
Exit;Saída
Exit Teleport;Sair do teletransporte
Explosive potion table;Mesa de poções explosivas
Eerie statue;Estátua misteriosa
Elf Flag;Bandeira dos Elfos
Exercise mat;Tapete de exercícios
Experiment tube;Tubo de experiência
Extra anchor;Âncora extra
Extractor hat-top;Chapéu extrator
Easel;Cavalete
Elemental sphere;Esfera elementar
End of bridge;Fim da ponte
Eric;Érico
Exit path;Caminho de saída
Explosion;Explosão
Fairly dark crystal;Cristal bastante escuro
Fairy fountain;Fonte de fadas
Ectofuntus;Ectofuntus
Elevator controls;Controles do elevador
Empty rack;Prateleira vazia
Energy Sphere;Esfera de Energia
Fairy Queen;Rainha Fada
Energy Pylon;Pilão de Energia
Experiment table;Tabela de experimentos
Fallen Wall;Parede Caída
Escape rope;Corda de fuga
Extractor hat;Chapéu extrator
Fallen statue;Estátua caída
Egg Sac;Saco de ovo
Elizabeth's barrel;O barril de Elizabeth
Empty Sarcophagus;Sarcófago Vazio
Empty lamp;Lâmpada vazia
Exit cavern;Sair da caverna
Eye;Olho
Eyes;Olhos
Eggs;Ovos
Elemental balance space;Espaço de equilíbrio elementar
Empty sac;Saco vazio
Evil Dave;Dave malvado
Fallen soldier;Soldado caído
Egg launcher;Lançador de ovos
Egniol Potions;Poções Egniol
Elaborate lockbox;Cofre elaborado
Elevator;Elevador
Elidinis Statuette;Estatueta Elidinis
Empty desk;Mesa vazia
Evil eye decoration;Decoração de mau olhado
Exhumed;Exumado
Fairy Queen throne;Trono da Rainha das Fadas
Fallen Tree;Árvore caída
Elven lamp;Lâmpada élfica
Embalming tube;Tubo de embalsamamento
Empty barrel;Barril vazio
Empty clothes;Roupas vazias
Equipment;Equipamento
Exit portal;Sair do portal
Extra chain;Corrente extra
Fallen tree;Árvore caída
Fencing;Esgrima
Fire of Eternal Light;Fogo da Luz Eterna
Fireplace surround;Lareira envolvente
Fish stall;Barraca de peixe
Flames;Chamas
Flour bin;Caixa de farinha
Fertile Soil;Solo fértil
Firepit with pot;Fogueira com panela
Fixed bridge;Ponte fixa
Floor spikes;Espigas de chão
Fancy range;Gama sofisticada
Fire of Dehumidification;Fogo de Desumidificação
Fire rift;Fenda de fogo
Fish basket;Cesta de peixe
Flagpole;Mastro de bandeira
Floor below;Andar abaixo
Flour;Farinha
Fence end;Extremidade da cerca
Fern;Samambaia
Fire pit;Fogueira
Fishing weights;Pesos de pesca
Flag;Bandeira
Fire of Domination;Fogo da Dominação
Fishing net;Rede de pesca
Flashing landing light;Luz de pouso piscando
Floor space corner;Canto do espaço
Flower Patch;Patch de flores
Fence;Cerca
Fence mid;Cerca no meio
Fire;Fogo
Fishing trophy space;Espaço para troféus de pesca
Fissure;Fissura
Flat stone;Pedra plana
Flower;Flor
Falling rock;Pedra caindo
Fence corner;Canto da cerca
Ferry;Balsa
Fire of Nourishment;Fogo da Nutrição
Fireplace space;Espaço lareira
Fish bowl;aquário
Five;Cinco
Flax;Linho
Floor space;Espaço
Fly trap;Armadilha para mosca
Fan blade;Lâmina do ventilador
Fire altar;Altar de fogo
Fishing Contest Banner;Banner do Concurso de Pesca
Flat rock;Rocha plana
Floor;Chão
Flowering fern;Samambaia florida
Fancy dress box space;Espaço de caixa de fantasias
Farm door;Porta da fazenda
Felled Yommi tree;Árvore Yommi derrubada
Floor decoration;Decoração de piso
Fancy dress box;Caixa de fantasia
Farming patch;Mancha agrícola
Feathers;Penas
Fencing ring;Anel de esgrima
Fenkenstrain's Castle Portal;Portal do Castelo de Fenkenstrain
Fire of Unseasonal Warmth;Fogo do calor fora de época
Fishing spot;Local de pesca
Flaming Fire altar;Altar de fogo flamejante
Floating Book;Livro flutuante
Floor space mid;Espaço intermediário
Fence t-piece;Peça em T para cerca
Fermenting Vat;Cuba de fermentação
Firepit;Fogueira
Fireplace;Lareira
Fishing Spot;Local de pesca
Floorboards;Tábuas de chão
Fancy pool of Rejuvenation;Piscina extravagante de rejuvenescimento
Figurehead;Figura de proa
First aid box;Caixa de primeiros socorros
Fish;Peixe
Floor space side;Lado do espaço
Floor tile;Ladrilho
Flowers;Flores
Fog marker;Marcador de nevoeiro
Fence space;Espaço de cerca
Fire Wall;Parede de fogo
Fire remains;O fogo permanece
Firebox;Fornalha
Firepit with hook;Fogueira com gancho
Fishing Crane;Guindaste de pesca
Floats;Flutuadores
Fly paper;Papel voador
Final Pillar;Pilar Final
Firm snow patch;Mancha de neve firme
Fish bits;Pedaços de peixe
Fishing Guild Portal;Portal da Guilda de Pesca
Fishing rod;Vara de pesca
Flowerbed;Canteiro de flores
Flute;Flauta
Fence bits;Pedaços de cerca
Fire trap;Armadilha de fogo
Falling door;Porta caindo
Fancy Jewellery Box;Caixa de joias chique
Filled Recess;Recesso Preenchido
Fishing Spot (Depleted);Local de pesca (esgotado)
Flat ground;Terreno plano
Footprints;Pegadas
Fossil cleaning bench;Bancada de limpeza de fósseis
Fossil fuel;Combustível fóssil
Furnace Coolant;Refrigerante do Forno
Gear box;Caixa de engrenagens
Font;Fonte
Frozen door;Porta congelada
Frozen orc;Orc congelado
Funeral Pyre;Pira Funerária
Gas hole;Buraco de gás
Ghorrock Portal;Portal Ghorrock
Fractionalising still;Fracionando ainda
Frozen ornate pool of Rejuvenation;Piscina ornamentada congelada do Rejuvenescimento
Frozen table;Mesa congelada
Fungi on log;Fungos no registro
Fur stall;Barraca de peles
Furnace;Forno
Gap;Brecha
Gates;Portões
Gem Rock;Pedra preciosa
Frog spit;Cuspe de sapo
Garden fence;Cerca de jardim
Gem Stall;Barraca de joias
Food chute;Rampa de comida
Forest Mushrooms;Cogumelos da Floresta
Forest floor;Chão da floresta
Fortified gate;Portão fortificado
Fountain of Heroes;Fonte dos Heróis
Fountain of Rune;Fonte de Runa
Fruit Tree Patch;Canteiro de árvores frutíferas
Fruit cart;Carrinho de frutas
Fungus doormat;Capacho fungo
Geyser;Gêiser
Giant Boulder;Pedregulho Gigante
Giant feathers;Penas gigantes
Gilded Adventure Log;Diário de Aventura Dourado
Fox;Raposa
Fremennik Boat;Barco Fremennik
Fremennik boat;Barco Fremennik
Game space;Espaço de jogo
Gift of Peace;Presente da Paz
Gilded bench;Banco dourado
Four;Quatro
Fragment of Seren;Fragmento de Seren
Frozen Pool of Restoration;Piscina Congelada de Restauração
Fungus covered Cavern wall;Parede da caverna coberta de fungos
Giant vial;Frasco gigante
Gilded cape rack;Porta-capas douradas
Fruit Stall;Barraca de frutas
Fungus;Fungo
Fungus pattern;Padrão de fungo
Fuse;Fusível
General Bentnoze;General Bentnoze
General Stall;Tenda Geral
Giant Anvil;Bigorna Gigante
Giant Dwarf;Anão Gigante
Giant crystal;Cristal gigante
Gibbet;Forca
Formidable passage;Passagem formidável
Fungus seat;Assento de fungo
Gallows;Forca
Gas bubble;Bolha de gás
Gate of War;Portão da Guerra
Gilded stand;Suporte dourado
Fossil Island display case;Vitrine da Ilha Fóssil
Frank's barrel;O barril de Frank
Free-for-all portal;Portal gratuito para todos
Gabion defence;Defesa de Gabião
Gangplank;Prancha
Fountain of Uhld;Fonte de Uhld
General Graardor display;Exibição geral do Graardor
General Wartface;Verruga Geral
Glarial's Tomb;Tumba de Glarial
Frog;Sapo
Full fishing net;Rede de pesca completa
Gem stall;Barraca de joias
Generator;Gerador
Food Trough;Calha de comida
Food trough;Calha de comida
Fossil Storage;Armazenamento de Fósseis
Frame;Quadro
Frozen warrior;Guerreiro congelado
Gigantic penguin;Pinguim gigante
Glarial's Tombstone;Lápide de Glarial
Frozen Pool of Revitalisation;Piscina Congelada de Revitalização
G.A.G. banner;MORDAÇA. bandeira
Gas cylinder;Cilindro de gás
Gate;Portão
Gazebo;Mirante
Giant anvil;Bigorna gigante
Gilded wardrobe;Guarda-roupa dourado
Food Stall;Barraca de comida
Food cupboard;Armário de comida
Foot lockers;Armários para pés
Fountain;Fonte
Frozen Pool of Rejuvenation;Piscina Congelada de Rejuvenescimento
Frozen demon;Demônio congelado
Frozen fancy pool of Rejuvenation;Piscina extravagante congelada de rejuvenescimento
Fungi;Fungos
Gauntlet Portal;Portal da Manopla
Globe space;Espaço globo
Goal;Meta
Grassland;Pastagem
Gnome bench;Banco gnomo
Gnome crates;Caixas de gnomos
Gold Castlewars armour;Armadura dourada de Castlewars
Grave;Cova
Graveyard Teleport;Teletransporte do Cemitério
Gloves and duster;Luvas e espanador
Glowing Orb;Orbe Brilhante
Gnome cabinet;Armário gnomo
Gnome landing light;Luz de pouso do gnomo
Gnome skeleton;Esqueleto de gnomo
Goat poo;Cocô de cabra
Grain;Grão
Granary wall;Muro do celeiro
Great Olmic Statue;Grande Estátua Olmica
Greenman's ale;Cerveja de Greenman
Glowing Fungus;Fungo Brilhante
Gnome barrel;Barril de gnomo
Gnome cooker;Fogão gnomo
Gnome crowd;Multidão de gnomos
Gobln Merfsh;Gobln Merfsh
Golden Gnome;Gnomo Dourado
Goo covered vine;Videira coberta de gosma
Grass;Grama
Globe;Globo
Glove Rack;Porta-luvas
Glyphs;Glifos
Gnome chair;Cadeira gnomo
Gnome table;Mesa gnomo
Golem rubble;Escombros do golem
Grand Exchange Portal;Portal do Grande Mercado
Gnome barrels;Barris de gnomo
Gnome goal;Objetivo do gnomo
Golem arm;Braço de golem
Gramophone;Gramofone
Granary roof;Telhado do celeiro
Globe of Gielinor;Globo de Guilenor
Grand Gold Chest;Grande Baú de Ouro
Grate;Grelha
Grave of Scorpius;Túmulo de Escorpião
Glouphrie statue;Estátua de Glouphrie
Glowing Carving;Escultura Brilhante
Glowing crystal;Cristal brilhante
Godfather throne;Trono do padrinho
Goutweed Crate;Caixa de Gota
Grand bookshelf;Grande estante
Greater magic circle;Círculo Mágico Maior
Golden lantern;Lanterna dourada
Gout Tuber Plant;Planta de tubérculo de gota
Goutweed;Gota
Grain sacks;Sacos de grãos
Grand Exchange booth;Estande do Mercado Geral
Grape arbor;Caramanchão de uva
Green chemical;Química verde
Greenmans Ale;Cerveja Greenmans
Gnome crate;Caixa de gnomo
Golden pear bush;Arbusto de pêra dourada
Golovanova seedling;Muda Golovanova
Gravestone;Lápide
Greater teleport focus;Maior foco de teletransporte
Green door;Porta verde
Goat;Cabra
Goblin stove;Fogão duende
Gold;Ouro
Golden cage;Gaiola dourada
Golem foot;Pé de golem
Golem head;Cabeça de golem
Grandfather clock;Relógio de pêndulo
Green tears;Lágrimas verdes
Glass table;Mesa de vidro
Gold Chest;Baú de Ouro
Green banner;Bandeira verde
Glass door;Porta de vidro
Gnome Glider;Planador Gnomo
Golden tree;Árvore dourada
Golem body;Corpo de golem
Gourd tree;Cabaça
Grand Exchange display;Exibição do Mercado Geral
Glowing carving;Escultura brilhante
Golf-cart;Carrinho de golfe
Golovanova plant;Planta Golovanova
Gorilla Statue;Estátua do Gorila
Grape vine;Videira
Grapevine;Videira
Grave marker;Marcador grave
Grill;Grade
Gnome Flag;Bandeira Gnomo
Goblin crowd;Multidão de duendes
Grain of Plenty;Grão de Abundância
Grandiose Doors;Portas Grandiosas
Grapevines;Videiras
Glowing fungus;Fungo brilhante
Gnome glider;Planador gnomo
Gnome statue;Estátua de gnomo
Gold Screen;Tela Dourada
Gold cannonball;Bala de canhão de ouro
Grandfather Clock;Relógio de pêndulo
Great Olm display;Grande exibição de Olm
Hanging meat;Carne pendurada
Hespori;Héspori
Grinder;Moedor
Guild door;Porta da guilda
Guthix Portal;Portal Guthix
Heap of bricks;Monte de tijolos
Heather;Mesclado
Herb Stall;Barraca de ervas
Grotto;Gruta
Habitat space;Espaço de habitat
Hanging log;Registro pendurado
Hardcore Ironman;Homem de Ferro Incondicional
Hazeel's coffin;O caixão de Hazeel
Heavy door;Porta pesada
Hidden trapdoor;Alçapão escondido
Grim lilly;Lírio sombrio
Guard dog;Cão de guarda
Harpoonfish cannon;Canhão de peixe arpão
Healer item machine;Máquina de itens de cura
Hearth;Lareira
Growing vine;Videira crescente
Handholds;Apoios para as mãos
Hay bales;Fardos de feno
Hefin Banner;Bandeira de Hefin
Hespori patch;Patch Hespori
Guard;Guarda
Guide rope;Corda guia
Hanging banner;Banner pendurado
Hanging pirate;Pirata pendurado
Hat rack;Porta-chapéus
Hazelmere statue;Estátua de Hazelmere
Hellhound;Cão infernal
Heraldry space;Espaço heráldica
Heroic statue;Estátua heróica
Guard space;Espaço de guarda
Guild trophy space;Espaço para troféus da guilda
Half-built Loom;Tear meio construído
Hammock;Rede
Hand holds;Mãos seguras
Hanger;Cabide
Hank (ghastly!);Hank (horrível!)
Hank (sick);Hank (doente)
Hay Bales;Fardos de feno
Herbs;Ervas
Hanging;Pendurado
Hanging tapestry;Tapeçaria suspensa
Harpoons;Arpões
Healer spring;Primavera curativa
Healthorg statue;Estátua da Healthorg
Hedge;Cobertura
Herman's desk;Mesa de Herman
Grimgnash;Grimgnash
Grubby Door;Porta Suja
Haar-Tok;Haar-Tok
Hammerstone Hops;Lúpulo Martelo
Handle;Lidar
Handy portal;Portal prático
Hangman game;Jogo da Forca
Harp;Harpa
Hat stand;Suporte para chapéu
Head trophy space;Espaço de troféu principal
Growing wheat;Cultivo de trigo
Guild Door;Porta da Guilda
Hanging hand;Mão pendurada
Herb;Erva
High Stakes;Apostas altas
Grym Root;Raiz de Grim
Gun Locker;Armário de armas
Harvested Celastrus tree;Árvore Celastrus colhida
Heat;Aquecer
Helmet pluming stand;Suporte de plumagem de capacete
Grubby Chest;Baú Sujo
Grym Root (Depleted);Raiz de Grym (esgotada)
Hanging cape;Capa pendurada
Hanging flag;Bandeira pendurada
Hanging wheel;Roda suspensa
Harmony Island Portal;Portal da Ilha da Harmonia
Hatch;Chocar
Healing certificate;Certificado de cura
Hedging;Cobertura
Henge;Henge
Herb patch;Canteiro de ervas
Hillside entrance;Entrada na encosta
Grotesque Guardians' display;Exibição dos Guardiões Grotescos
Hammers;Martelos
Hank (very sick);Hank (muito doente)
Hardwood Grove Doors;Portas de madeira nobre
Hardy goutweed;Gota resistente
Haystack;Palheiro
Hidden Statue;Estátua Oculta
Hill;Colina
Hammer;Martelo
Hank (Well);Hank (bem)
Guitar;Guitarra
Hanging dye;Tintura pendurada
Grotto tree;Árvore da gruta
Hard rock;Rock pesado
Hay bale;Fardo de feno
Headless statue;Estátua sem cabeça
Heater;Aquecedor
Hollowed rock;Rocha oca
Hoop Snake;Cobra de Argola
Hutch;gaiola
Iban's Throne;Trono de Iban
Ice Light;Luz de gelo
Ice crystal;Cristal de gelo
Icon of Zamorak;Ícone de Zamorak
Imposing Doors;Portas Imponentes
Incinerator;Incinerador
Hoisted sail;Vela içada
Hole in wall;Buraco na parede
Huge Gate;Enorme Portão
Icon of Gnome Child;Ícone da Criança Gnomo
Hobgoblin;Duende Macabro
Hole;Buraco
Hole in the wall;Buraco na parede
Hollow Log;Tronco oco
Howling Snow Storm;Tempestade de neve uivante
Ice ledge;Plataforma de gelo
Icosahedron Pile;Pilha de Icosaedro
Illuminated Symbol;Símbolo Iluminado
Inconspicuous bush (hard);Arbusto discreto (duro)
Inconspicuous hole (elite);Buraco discreto (elite)
Inconspicuous hole (master);Buraco imperceptível (mestre)
Inconspicuous hole (medium);Buraco imperceptível (médio)
Infernal chart;Mapa infernal
Holy barrier;Barreira sagrada
Ice steps;Degraus de gelo
Icy rocks;Rochas geladas
Inconspicuous crate (easy);Caixa discreta (fácil)
Inconspicuous hole (hard);Buraco imperceptível (duro)
Inconspicuous rocks (elite);Rochas imperceptíveis (elite)
Hull;Casco
Ice chunks;Pedaços de gelo
Ice storm;Tempestade de gelo
Icon of Bob;Ícone de Bob
Inconspicuous crate (master);Caixa discreta (mestre)
Inconspicuous rocks (easy);Rochas imperceptíveis (fácil)
Hurdle;Obstáculo
Iasor plant;Planta Iasor
Ice covered boulder;Pedregulho coberto de gelo
Igloo;Iglu
Inconspicuous bush (easy);Arbusto discreto (fácil)
Inconspicuous bush (elite);Arbusto discreto (elite)
Inconspicuous crate (hard);Caixa discreta (dura)
Inconspicuous rocks (master);Rochas imperceptíveis (mestre)
History;História
Hot vent door;Porta de ventilação quente
Huge vat;Enorme cuba
Icicle;Sincelo
