hello;olá
I just can't believe one of my friends could be a traitor.;Simplesmente não consigo acreditar que um dos meus amigos possa ser um traidor.
Someone has forced the chest open, breaking it in the process. If anything was in the chest, it's now gone.;Alguém forçou a abertura do baú, quebrando-o no processo. Se alguma coisa estava no baú, agora desapareceu.
You hammer the iron bar and create a magnet.;Você martela a barra de ferro e cria um ímã.
I'm sure they'll settle down soon.;Tenho certeza que eles se acalmarão em breve.
This is one of my personal seed pods, handed down through the generations of my family.;Esta é uma das minhas sementes pessoais, transmitida através das gerações da minha família.
Ah, impatience! Traitorous Ali's time is indeed nigh. Firstly bring me some snake venom, which will act as the main toxin.;Ah, impaciência! A hora do traiçoeiro Ali está realmente próxima. Em primeiro lugar, traga-me um pouco de veneno de cobra, que atuará como a principal toxina.
Take care Klank.;Tome cuidado Klank.
I'll need his bank pass, in that case.;Vou precisar do cartão bancário dele, nesse caso.
Hello, any luck finding the consecration seed?;Olá, teve sorte em encontrar a semente de consagração?
Okay Effendi, you need to follow the plans. You will need some special tools for this... There is an anvil in the other tent. You have my permission to use it, but show the plans to the guard.;Ok Effendi, você precisa seguir os planos. Você precisará de algumas ferramentas especiais para isso... Há uma bigorna na outra tenda. Você tem minha permissão para usá-lo, mas mostre os planos ao guarda.
Ithoi rushes out of the hut.;Ithoi sai correndo da cabana.
Yes, I know... stick da chompy!;Sim, eu sei... stick da chompy!
2.6.3 Upon creating a long enough stepping stone path;2.6.3 Ao criar um caminho de trampolim longo o suficiente
Alright I get the picture. What will work then?;Tudo bem, entendi. O que funcionará então?
I managed to recover Ranis' head.;Consegui recuperar a cabeça de Ranis.
You may need help building the temple or defending yourself against the Shades. I'm sure if you ask around nicely you would be able to get some help.;Você pode precisar de ajuda para construir o templo ou para se defender das Sombras. Tenho certeza de que se você perguntar com educação, conseguirá ajuda.
No. You're wrong. Now go away.;Não. Você está errado. Agora vá embora.
As you wish. Hopefully I can find someone else to help.;Como você desejar. Espero poder encontrar outra pessoa para ajudar.
3.17 Talking to the escaping slave;3.17 Conversando com o escravo fugitivo
The kingdom of Miscellania will have to reward you for this.;O reino da Miscelânea terá que recompensá-lo por isso.
What do you want?;O que você quer?
'It's somewhere in the sea, And it looks very nice, If it weren't for your ancestors, It wouldn't be there at all,';'Está em algum lugar no mar, e parece muito bonito, se não fosse por seus ancestrais, não estaria lá de jeito nenhum',
Which is what exactly?;Qual é o que exatamente?
No problem my friend, perhaps another time.;Não tem problema meu amigo, talvez em outra hora.
You never disappoint, [player name]!;Você nunca decepciona, [nome do jogador]!
Oh, we will soon! Just you give it time. They'll slip up sooner or later.;Ah, faremos em breve! Basta você dar um tempo. Eles vão escorregar mais cedo ou mais tarde.
I'm starting to regret praising your humour.;Estou começando a me arrepender de elogiar seu humor.
I'll bet! It pleases you, then, to know that I have just become a builder and have been granted permission to go mess around inside.;Aposto! Agrada-lhe, então, saber que acabei de me tornar um construtor e recebi permissão para mexer lá dentro.
Don't worry about it [player name], he may have escaped AGAIN, but I still have him on my tracking spell...;Não se preocupe com isso [nome do jogador], ele pode ter escapado DE NOVO, mas ainda o tenho no meu feitiço de rastreamento...
Why not take the boat then?;Por que não pegar o barco então?
it through the day without having at least 20 cups!;passar o dia sem tomar pelo menos 20 xícaras!
(Non-quest dialogue) Sorry, I'm not interested.;(Diálogo fora da missão) Desculpe, não estou interessado.
He will attempt to power himself up before he fights. Try and stop that where you can. Once the fight begins, be careful of his highly poisonous attacks.;Ele tentará se fortalecer antes de lutar. Tente parar com isso onde puder. Assim que a luta começar, tome cuidado com seus ataques altamente venenosos.
Congratulations, you all pass!;Parabéns, todos vocês passaram!
2 Child's blanket;2 Cobertor infantil
You will not pass!;Você não vai passar!
Ah, the people that live in the mountains here, they are a superstitious lot. They fear few things, but magic and gods they're scared to death of.;Ah, as pessoas que vivem nas montanhas aqui são muito supersticiosas. Eles temem poucas coisas, mas eles morrem de medo da magia e dos deuses.
2.1 With ring of Charos;2.1 Com anel de Charos
1.1 Talking to Dwarven Boatman;1.1 Conversando com o Anão Barqueiro
Well don't take too long. Every second we waste is a big risk.;Bem, não demore muito. Cada segundo que desperdiçamos é um grande risco.
You fly on the glider.;Você voa no planador.
Ah yes, our sawmill operator was expecting you. Do you have the proposal with you?;Ah, sim, nosso operador de serraria estava esperando por você. Você tem a proposta com você?
We are the Guardians of Armadyl. We have kept the temple safe for many ages. The evil in the dungeons seek what lies here. The Mahjarrat are the worst.;Nós somos os Guardiões de Armadyl. Mantivemos o templo seguro por muitos anos. O mal nas masmorras procura o que está aqui. Os Mahjarrat são os piores.
3 Accessing the Waterfall Dungeon;3 Acessando a Masmorra da Cachoeira
Well, I don't necessarily believe I have much of a choice!;Bem, não acredito necessariamente que tenha muita escolha!
Here you go...;Aqui você vai...
2.11 Using sheep bones on the incinerator;2.11 Usando ossos de ovelha no incinerador
The player is brought into the arena.;O jogador é levado para a arena.
To see if you were worthy.;Para ver se você era digno.
Each mould part is differing...;Cada parte do molde é diferente...
(Player receives Clockwork book.);(O jogador recebe o livro Clockwork.)
There is a book, somewhere in the library, that may help you. It is the 'Scholars Guide to Dwarven Costumes' and it contains the designs of the costumes of a lot of old Kings and dwarven dignitaries.;Há um livro em algum lugar da biblioteca que pode ajudá-lo. É o 'Guia Estudioso para Trajes Anões' e contém os desenhos dos trajes de muitos reis antigos e dignitários anões.
2.3 Reclaiming the beer soaked hand from the captain;2.3 Recuperando a mão encharcada de cerveja do capitão
In any case, before the council and I meet with anyone from their camp, they will have to give our rock back.;De qualquer forma, antes que o conselho e eu nos encontremos com alguém do acampamento deles, eles terão que devolver nossa pedra.
Ah yes, I am [Tim/Sue].;Ah, sim, eu sou [Tim/Sue].
Nice cart.;Belo carrinho.
) I'd like to swap my abyssal red dye for some abyssal blue dye.;) Gostaria de trocar minha tinta vermelha abissal por alguma tinta azul abissal.
6.5 Traiborn after losing the key;6.5 Traiborn depois de perder a chave
3.10 Talking to Zanik;3.10 Conversando com Zanik
I want to earn Prince Brand's approval instead.;Em vez disso, quero obter a aprovação do Príncipe Brand.
3.37 Using strange potion on Sithik Ints;3.37 Usando poção estranha em Sithik Ints
But let me introduce myself. I am Veldaban, son of Dondakan. I am the Commander of the Black Guard in Keldagrim.;Mas deixe-me apresentar-me. Eu sou Veldaban, filho de Dondakan. Sou o Comandante da Guarda Negra em Keldagrim.
I lost the corrected anthem you gave me.;Perdi o hino corrigido que você me deu.
Sorry, I've done enough for today.;Desculpe, já fiz o suficiente por hoje.
Well just let me know if I can help in any way.;Bem, deixe-me saber se eu puder ajudar de alguma forma.
1.1 Random stories;1.1 Histórias aleatórias
5.12 Searching the mine cart;5.12 Procurando no carrinho da mina
Cutscene where the player launches the balloon and it burns down;Cutscene onde o jogador lança o balão e ele pega fogo
4.1.1 Searching the unlocked chest with a full inventory;4.1.1 Procurando no baú desbloqueado com um inventário completo
I'm not a nice girl. I'm a respectable scientist researching the interactions between ghosts and the force of pure science.;Eu não sou uma garota legal. Sou um cientista respeitável que pesquisa as interações entre fantasmas e a força da ciência pura.
'It didn't seem fair, didn't seem right. They deserved more. I knew I had to give it to them...';“Não parecia justo, não parecia certo. Eles mereciam mais. Eu sabia que tinha que dar isso a eles...'
Problem? What problem?Er...and you have a dossier on me???;Problema? Que problema? Er... e você tem um dossiê sobre mim???
1.1 Vanstrom Klause;1.1 Vanstrom Klause
She's outside, can you get to her?;Ela está lá fora, você pode chegar até ela?
Oh, but there is always a curtain call.;Ah, mas sempre há uma chamada ao palco.
I put a stop to that though. I killed Kroy and destroyed his lab. The barkeep has no supply now.;Eu coloquei um ponto final nisso. Eu matei Kroy e destruí seu laboratório. O barman não tem suprimento agora.
Urghhh...not good fing creature, yous gotta get da ogrish old fings for da making new jiggig special. You's creature needs da key for getting in da low bury place.;Urghhh ... não é uma boa criatura, você tem que pegar aqueles dedos velhos e horríveis para tornar o novo jiggig especial. A criatura de você precisa da chave para entrar no cemitério.
Can't you just leave Tassie alone?;Você não pode simplesmente deixar Tassie em paz?
Lady Meilyr departs for Lletya.;Lady Meilyr parte para Lletya.
Well, I suppose if I give you the recipe, you can make it yourself.;Bem, suponho que se eu lhe der a receita, você mesmo poderá fazer.
[player name]...;[nome do jogador]...
I already have Elizabeth's Needle.;Eu já tenho a Agulha de Elizabeth.
Good, good. Once you are ready, let me know and we will begin.;Bom, bom. Quando estiver pronto, me avise e começaremos.
Apparently a soldier interacted with the artefact at one point. It caused another soldier to enter a frenzy and kill multiple people.;Aparentemente, um soldado interagiu com o artefato em determinado momento. Isso fez com que outro soldado entrasse em frenesi e matasse várias pessoas.
5.42 Talking to the Ethereal Lady after finishing the emote challenge;5.42 Conversando com a Dama Etérea após terminar o desafio de emote
Well, do you know the VAGUE AREA you lost it?;Bom, você conhece a ÁREA VAGA que você perdeu?
Certainly! Skillcapes are a symbol of achievement. Only people who have mastered a skill and reached level 99 can get their hands on them and gain the benefits they carry.;Certamente! Skillcapes são um símbolo de conquista. Somente pessoas que dominaram uma habilidade e atingiram o nível 99 podem colocar as mãos nelas e obter os benefícios que elas trazem.
Are you ready to enter the Scar?;Você está pronto para entrar na cicatriz?
You're a cook, why don't you bake me a cake?;Você é cozinheiro, por que não faz um bolo para mim?
I wish I could have met her... The real her I mean. I bet she'd have known how to properly close this rift.;Eu gostaria de tê-la conhecido... A verdadeira ela, quero dizer. Aposto que ela saberia como fechar essa fenda adequadamente.
You'll need to get to Efaritay's Arboretum in the middle of the city. The city architects gave it facelift to help it blend in, but it's still impossible to miss.;Você precisará chegar ao Arboreto de Efaritay no meio da cidade. Os arquitetos da cidade fizeram uma reformulação para ajudá-lo a se misturar, mas ainda assim é impossível não notar.
... but Pharaoh Kemesis agreed to begin preparations to reopen Menaphos.;... mas o Faraó Kemesis concordou em iniciar os preparativos para reabrir Menaphos.
This page was last modified on 7 July 2022, at 04;Esta página foi modificada pela última vez em 7 de julho de 2022, às 04
Oh, sorry. I'm not from this world.;Ah, desculpe. Eu não sou deste mundo.
Tell me how you became an Archaeologist;Conte-me como você se tornou um arqueólogo
I have the mattress!;Eu tenho o colchão!
Killer's;Assassino
I've come to return what Arsen stole.;Vim devolver o que Arsen roubou.
I'm not sure I'm afraid. I imagine someone from the Moon Clan would likely have more knowledge on the matter.;Não tenho certeza se estou com medo. Imagino que alguém do Clã Lunar provavelmente teria mais conhecimento sobre o assunto.
If the player has keys from Rovin and the drain;Se o jogador tiver as chaves de Rovin e do dreno
I'll get to it right away.;Vou tratar disso imediatamente.
Wydin;Wydin
3.4 Talking to King Vargas;3.4 Conversando com o Rei Vargas
You thankfully have no need to do that any more.;Felizmente, você não precisa mais fazer isso.
I hear from King Vargas that relations between Etceteria and Miscellania are none too cordial at the moment.;Ouvi do Rei Vargas que as relações entre Etceteria e Miscelânea não são muito cordiais no momento.
Indeed, so marvellous was this light-show at its height that the patterns of light themselves became alive, and great flocks of luminous creatures rode along the gem- cast beams, each drawn to its own colour.;Na verdade, este espectáculo de luzes foi tão maravilhoso no seu auge que os próprios padrões de luz ganharam vida, e grandes bandos de criaturas luminosas cavalgaram ao longo dos feixes de pedras preciosas, cada uma atraída pela sua própria cor.
(Player receives Address label.);(O jogador recebe a etiqueta de endereço.)
Still, 'worse things happen at sea right?';Ainda assim, 'coisas piores acontecem no mar, certo?'
'Aliya, Justiciar of the Lion and guardian of the Temple of the Eye.';'Aliya, Juiz do Leão e guardiã do Templo do Olho.'
Hello. I wasn't expecting to see anyone else down here.;Olá. Eu não esperava ver mais ninguém aqui.
Dramen tree;Árvore Dramen
So how flammable are you?;Então, quão inflamável você é?
Again, we don't know that.;Novamente, não sabemos disso.
3.3 Talking to Curpile Fyod again after convincing him;3.3 Conversando com Curpile Fyod novamente depois de convencê-lo
2.3 Boarding the rowboat before drinking the potion;2.3 Embarcar no barco a remo antes de beber a poção
If the player does not have any ardrigal;Se o jogador não tiver nenhum ardrigal
Call it what you want, it's not important now. What is important is that I believe I can make a more powerful potion using ingredients found here.;Chame como quiser, não é importante agora. O importante é que acredito que posso fazer uma poção mais poderosa usando os ingredientes encontrados aqui.
Elena gives you some elder cadantine.;Elena lhe dá um pouco de cadantina de ancião.
Thank you for all your help in solving the murder.;Obrigado por toda a sua ajuda na resolução do assassinato.
Screen fades;A tela desaparece
You don't have enough coins to pay for the dye.;Você não tem moedas suficientes para pagar a tintura.
You're not a real guard. I've been in here long enough to know that. What's your business?;Você não é um guarda de verdade. Estou aqui há tempo suficiente para saber disso. Qual é o seu negócio?
Modern day morytania;Moritânia moderna
I must say I am extremely glad you are only here temporarily, I would hate for any of my crew to have any sort of dealing with you.;Devo dizer que estou extremamente feliz por você estar aqui apenas temporariamente. Eu odiaria que qualquer membro da minha tripulação tivesse qualquer tipo de negócio com você.
I'm sorry. It's just that I've lost her.;Desculpe. É que eu a perdi.
Arrr, any sufficiently advanced technology be indistinguishable from demonic possession, that it be.;Arrr, qualquer tecnologia suficientemente avançada será indistinguível da possessão demoníaca, que seja.
I need to get there quick. Thank you for the help.;Preciso chegar lá rápido. Obrigado pela ajuda.
Ok then. So what do they do exactly?;Ok, então. Então, o que eles fazem exatamente?
I don't think so. Lord Arceuus is trying to find out more about Xamphur, but he doesn't have anything yet. For now, all we can do is wait.;Eu não acho. Lorde Arceuus está tentando descobrir mais sobre Xamphur, mas ainda não tem nada. Por enquanto, tudo o que podemos fazer é esperar.
Oh. Okay. Sorry.;Oh. OK. Desculpe.
If you seek more of the knowledge, look to the Seal of Hefin. You'll find it on the top level, to the south west. The light will guide the way...;Se você busca mais conhecimento, procure o Selo de Hefin. Você o encontrará no nível superior, a sudoeste. A luz guiará o caminho...
As good as can be, all things considered. I idolised my grandfather for years. They always say you should never meet your heroes though, now I see why.;As good as can be, all things considered. I idolised my grandfather for years. Eles sempre dizem que você nunca deve conhecer seus heróis, agora entendo por quê.
Before starting this quest, be aware that your combat level is lower than the recommended level of 35.;Antes de iniciar esta missão, esteja ciente de que seu nível de combate é inferior ao nível recomendado de 35.
9 Lady Piscarilius' favour;9 Favor de Lady Piscarilius
3.1.1 Talking to Phileas again;3.1.1 Conversando com Phileas novamente
Weren't you supposed to be carving Icthlarin's head?;Você não deveria estar esculpindo a cabeça de Icthlarin?
Is anybody there?;Tem alguém aí?
3.3 Atempting to open the gate without the key to unlock it;3.3 Tentativa de abrir o portão sem a chave para destrancá-lo
Please tell me you have the blanket.;Por favor, diga-me que você está com o cobertor.
3.5 Searching the table in the lab;3.5 Pesquisando a mesa no laboratório
1.2.1 Talking to Asgarnia Smith again;1.2.1 Conversando com Asgarnia Smith novamente
It's to go with the ceremonial clothes I need for visiting the dream land.;É para acompanhar as roupas cerimoniais que preciso para visitar a terra dos sonhos.
Well I work for a business known as Sandy Sand Co. A brilliant bunch of people!;Bem, eu trabalho para uma empresa conhecida como Sandy Sand Co. Um grupo de pessoas brilhantes!
Mother Ruckus;Mãe Tumulto
It's my helping hand, back again.;É a minha mão amiga, de volta.
They say the plague is a horrible way to go... That's why Elena felt she had to go help. She said she'd be gone for a few days but we've heard nothing since.;Dizem que a peste é uma maneira horrível de morrer... É por isso que Elena sentiu que precisava ajudar. Ela disse que ficaria fora por alguns dias, mas não tivemos notícias desde então.
You should seek refuge in Sophanem or one of the other nearby settlements. Hopefully you'll be able to go home soon.;Você deve procurar refúgio em Sophanem ou em um dos outros assentamentos próximos. Esperamos que você possa voltar para casa em breve.
(If the player has already given the trousers;(Se o jogador já entregou as calças
Certainly, I will do so straight away.;Certamente, farei isso imediatamente.
I won't be able to speak with you after this. The others might start to get suspicious.;Não poderei falar com você depois disso. Os outros podem começar a ficar desconfiados.
Gielinor Guide;Guia Guilenor
Handkerchief;Lenço
I was wondering if I could have another batch of poison?;Eu queria saber se eu poderia ter outro lote de veneno?
No, I lost it.;Não, eu perdi.
I... Err... [Tim/Sue]?;Eu... Err... [Tim/Sue]?
I can't find Father Urhney at the moment.;Não consigo encontrar o Padre Urhney neste momento.
Please Traveller, leave before it's too late!;Por favor, viajante, saia antes que seja tarde demais!
The spirit tree has looked over us for centuries. Now we must pay our respects.;A árvore espiritual nos observa há séculos. Agora devemos prestar nossos respeitos.
You recount your experiences with the baboons in Osmumten's Tomb...;Você conta suas experiências com os babuínos na Tumba de Osmumten...
So what's the catch?;Então, qual é o problema?
Monkey Sadness;Tristeza do Macaco
Good day, [madam/sir]. Are you interested in the history of this area?;Bom dia, [senhora/senhor]. Você está interessado na história desta área?
Check the pile behind the ladder. You should find it there.;Verifique a pilha atrás da escada. Você deveria encontrá-lo lá.
Hmmm let me think... Ouch! Thinking isn't clever. Ah here, she did scribble it down for me.;Hmmm, deixe-me pensar... Ai! Pensar não é inteligente. Ah, aqui, ela rabiscou para mim.
Well, I've done a lot of research into Triple Redundant Aero Super Hawsers and it seems to have paid off, but answer me this one question. Why are you asking me this rather than the Gnome?;Bem, eu fiz muitas pesquisas sobre Aero Super Hawsers Triple Redundant e parece ter valido a pena, mas me responda a esta pergunta. Por que você está me perguntando isso em vez do Gnomo?
You search the plinth...;Você procura no pedestal...
Yuck! I don't like beer.;Eca! Eu não gosto de cerveja.
In a way. Together we would all be responsible for Kourend, but a single individual would rule over the kingdom.;De certa forma. Juntos seríamos todos responsáveis ​​por Kourend, mas um único indivíduo governaria o reino.
Perhaps I could help.;Talvez eu possa ajudar.
2 Infiltrating the fortress;2 Infiltrando-se na fortaleza
So, how does thee know I 'ave some?;Então, como você sabe que tenho alguns?
So we're here?;Então estamos aqui?
Talk to Betty about the Hand in the Sand.;Fale com Betty sobre a Mão na Areia.
3.1.6 Talking to Ava again before talking to the witch;3.1.6 Conversando com Ava novamente antes de falar com a bruxa
You had it all in hand. I must say, this has been an interesting development.;Você tinha tudo sob controle. Devo dizer que este foi um desenvolvimento interessante.
The Council must be removed and a replacement is needed. I will gladly support the new Royal Accord. But first, we must focus on Xamphur.;O Conselho deve ser removido e é necessário um substituto. Terei prazer em apoiar o novo Acordo Real. Mas primeiro devemos nos concentrar em Xamphur.
3.4 Climbing the stairs after investigatiing;3.4 Subindo as escadas depois de investigar
What do I do now?;O que eu faço agora?
Rats are a highly unbalanced creature and it is right that their numbers be controlled.;Os ratos são criaturas altamente desequilibradas e é correcto que o seu número seja controlado.
The plague was made up to hide their mining operation beneath the city.;A praga foi inventada para esconder sua operação de mineração sob a cidade.
The guard notices the barrel (with Ana in it) that you're carrying.;O guarda percebe o barril (com Ana dentro) que você carrega.
Is what she has now really much of a life at all?;O que ela tem agora é realmente uma vida?
4 In the North;4 No Norte
Nope, I'm sure. Only Willow I know of is a type of tree.;Não, tenho certeza. Apenas Willow que conheço é um tipo de árvore.
(Continues above from lost item dialogue.);(Continua acima do diálogo de item perdido.)
Sorry, all that jubilation has made me forget what we were talking about.;Desculpe, todo aquele júbilo me fez esquecer do que estávamos conversando.
An increase in taxes would definitely cause some anger, especially if it seems that the king is making personal gain. No one likes the idea of the rich getting richer.;Um aumento nos impostos certamente causaria alguma raiva, especialmente se parecer que o rei está obtendo ganhos pessoais. Ninguém gosta da ideia de os ricos ficarem mais ricos.
*Sighs*... Fine. If I go get you this sandwich, will you help Willow?;*Suspiros*... Tudo bem. Se eu for buscar esse sanduíche para você, você ajuda Willow?
If the player does not have the key;Se o jogador não tiver a chave
We lost three diving parties that way!;Perdemos três grupos de mergulho dessa forma!
If the player already has the note;Se o jogador já possui a nota
If the player does not have all quest requirements;Se o jogador não tiver todos os requisitos da missão
Yeah man, but they come from the south, where humans have thumbs to play them with. We don't have thumbs. Also, the Pescaling had our old ones confiscated for being too loud.;Sim, cara, mas eles vêm do sul, onde os humanos têm polegares para brincar com eles. Não temos polegares. Além disso, o Pescaling teve nossos antigos confiscados por serem muito barulhentos.
3.12 Talking to the Male slave after he mentions the handcuffs;3.12 Conversando com o escravo depois que ele menciona as algemas
1 Entering the camp;1 Entrando no acampamento
The Fremennik then swept over Gielinor destroying the altars we had made, in an attempt to remove all trace of magic from the land.;Os Fremennik então varreram Guilenor destruindo os altares que havíamos feito, na tentativa de remover todos os vestígios de magia da terra.
Inside, we found an altar. It seems to be giving off the same power as the Dark Altar.;Lá dentro, encontramos um altar. Parece estar emitindo o mesmo poder do Altar Negro.
Yes, he's the one who persuaded us to come here.;Sim, foi ele quem nos convenceu a vir para cá.
What was it that I was supposed to do for you?;O que eu deveria fazer por você?
Key print;Impressão chave
I have some here!;Eu tenho alguns aqui!
Are you really sure about all of this?;Você tem certeza de tudo isso?
It will take a while to pack up all of our equipment but we aim to be gone as soon as possible.;Vai demorar um pouco para arrumar todo o nosso equipamento, mas pretendemos partir o mais rápido possível.
No, I'm just looking around.;Não, estou apenas olhando em volta.
No problem. Come back if you change your mind.;Sem problemas. Volte se mudar de ideia.
Sure thing, but you'd better free up some space first.;Claro, mas é melhor você liberar algum espaço primeiro.
Burthorpe;Burthorpe
1.16 Talking to Edmond after pouring three buckets of water on the mud patch;1.16 Conversando com Edmond depois de derramar três baldes de água na lama
14.3 Talking to Ali the Operator again;14.3 Conversando com Ali, a Operadora novamente
The symbol of Zamorak? That tells us nothing.;O símbolo de Zamorak? Isso não nos diz nada.
The only problem is that those rottin' fiends have torn up and destroyed all but one of the Blindweed Patches.;O único problema é que aqueles demônios podres rasgaram e destruíram todas as manchas de erva-cega, exceto uma.
4.6 Opening chest by Captain Siad;4.6 Abrindo baú pelo Capitão Siad
2.3 Talking to Oldak;2.3 Conversando com Oldak
Gerald;Geraldo
Come back if you change your mind!;Volte se mudar de ideia!
5.12 Talking to Mary after learning about the poison;5.12 Conversando com Mary depois de aprender sobre o veneno
Yes, better safe than sorry! We can go through this little tunnel when you're ready.;Sim, é melhor prevenir do que remediar! Podemos passar por este pequeno túnel quando você estiver pronto.
It's okay, I can get both.;Está tudo bem, posso pegar os dois.
Ah yes, of course. I think she has been helping Oldak with his experiments recently. You should check Oldak's lab.;Ah sim, claro. Acho que ela tem ajudado Oldak com seus experimentos recentemente. Você deveria verificar o laboratório de Oldak.
Ah, well that must have been Drezel then. What did he say?;Ah, bem, deve ter sido Drezel então. O que ele disse?
When did he find out?;Quando ele descobriu?
2.11 Talking to Harold after losing the IOU;2.11 Conversando com Harold depois de perder o IOU
Hespori;Héspori
3.2 Talking to Sophanem Guard when entering the tunnels;3.2 Conversando com o Guarda Sophanem ao entrar nos túneis
If the player has not gained the trust of Princess Astrid;Se o jogador não conquistou a confiança da Princesa Astrid
There's a demon who wants to invade the city.;Há um demônio que quer invadir a cidade.
The portal... We have to go.;O portal... Temos que ir.
What development?;Que desenvolvimento?
The Boneguard turns into Akthanakos.;O Boneguard se transforma em Akthanakos.
5.3 Talking to Anna after learning about the poison;5.3 Conversando com Anna depois de saber sobre o veneno
What man-thing want?;Que coisa de homem quer?
I guess it's always nice to be rewarded. You should be careful not to let that drive you though. Money can't buy everything, [player name].;Acho que é sempre bom ser recompensado. Você deve ter cuidado para não deixar isso te levar. O dinheiro não compra tudo, [nome do jogador].
He's definitely not a mermaid.;Ele definitivamente não é uma sereia.
What is this, Kovac?;O que é isso, Kovac?
How long have you been interested in books?;Há quanto tempo você se interessa por livros?
6.5 Talking to the golem after opening the portal;6.5 Conversando com o golem após abrir o portal
So how do we deal with them?;Então, como lidamos com eles?
4.1 Reporting to Lord Shayzien;4.1 Reportando-se a Lorde Shayzien
Then search the house more thoroughly! Everything you need should be there.;Então vasculhe a casa com mais atenção! Tudo que você precisa deve estar lá.
Remember, speak to Ghrim if you require assistance.;Lembre-se, fale com Ghrim se precisar de ajuda.
Well done! That's correct!;Bom trabalho! Isso mesmo!
You show her 'A Dark Disposition'.;Você mostra a ela 'A Dark Disposition'.
I don't see how there can be any more doubt. You should tell the Duke at once!;Não vejo como pode haver mais dúvidas. Você deveria contar ao duque imediatamente!
Hello. What can I do for you?;Olá. O que posso fazer para você?
(Non-quest dialogue) How are you two doing?;(Diálogo fora da missão) Como vocês dois estão?
One look at the enemy and ye run away.;Basta olhar para o inimigo e você fugirá.
1.5 Talking to Asteros Arceuus;1.5 Conversando com Asteros Arceuus
I don't actually have them with me.;Na verdade, não os tenho comigo.
Good work, [player name]! At last we can relax. We've completed our task and you have done me a great service!;Bom trabalho, [nome do jogador]! At last we can relax. Concluímos nossa tarefa e você me prestou um ótimo serviço!
This page was last modified on 30 April 2023, at 14;Esta página foi modificada pela última vez em 30 de abril de 2023, às 14h.
You installed some puppet rulers just to access the Altar? My my, Xamphur, you haven't lost your ambition.;Você instalou algumas réguas de marionetes só para acessar o Altar? Meu Deus, Xamphur, você não perdeu sua ambição.
All you have to do with it, adventurer, is chisel it into the body of the statue.;Tudo o que você precisa fazer com isso, aventureiro, é cinzelá-lo no corpo da estátua.
2.2 Talking to Aga;2.2 Conversando com Aga
Well you're right about that. Turns out King Lathas was lying about that as well. But I'll get to that in a minute.;Bem, você está certo sobre isso. Acontece que o Rei Lathas também estava mentindo sobre isso. Mas chegarei a isso em um minuto.
That's a plank, you'll need a lot of those.;Isso é uma prancha, você vai precisar de muitas delas.
But your friends?;Mas seus amigos?
You mean more help? I've already blessed one wrench for you, that should be enough.;Você quer dizer mais ajuda? Já abençoei uma chave inglesa para você, isso deve ser suficiente.
Who is she?;Quem é ela?
Please could you go see [client] [area] [city], [location description] for us? You can get another job once you have furnished [his/her] home.;Por favor, você poderia ir ver [cliente] [área] [cidade], [descrição do local] para nós? Você pode conseguir outro emprego depois de mobiliar a casa.
We test your knowledge of Herblore and see if you can fit in with the rest of us. If you pass, then we let you become an initiate.;Testamos seu conhecimento de Herbologia e vemos se você se encaixa com o resto de nós. Se você passar, nós deixaremos você se tornar um iniciado.
What do I need to do again?;O que preciso fazer de novo?
We are not assembled here to squabble over accounting details or the economic state of the Consortium.;Não estamos aqui reunidos para discutir detalhes contabilísticos ou a situação económica do Consórcio.
Speaking of your associates, what's all this really about?;Falando em seus associados, do que se trata realmente?
'It was the start of something beautiful, but there is pain in beauty, as I soon came to realise...';'Foi o começo de algo lindo, mas há dor na beleza, como logo percebi...'
You should hurry, they could infect the entire town in a matter of a few days!;Você deveria se apressar, eles podem infectar a cidade inteira em questão de dias!
What history?;Que história?
Hey, you there!;Ei, você aí!
Notice board;Quadro de avisos
Nieve;Neve
5 Dealing with the cannon;5 
I don't know anymore. You're very demanding aren't you!;Eu não sei mais. Você é muito exigente, não é!
I've found tracks leading off to the west. But they trail off into the trees. Beyond that I am unable to follow.;Encontrei trilhas que levam para o oeste. Mas eles desaparecem nas árvores. Além disso, não consigo acompanhar.
Iron ore;Minério de ferro
Tina;Tina
Go to Hemenster and do us proud!;Vá para Hemenster e deixe-nos orgulhosos!
You need a Glassblowing Pipe to make V's Shield.;Você precisa de um tubo de sopro de vidro para fazer o escudo de V.
Mysterious Master;Mestre Misterioso
No need. I can summon it with ease.;Não há necessidade. Posso invocá-lo com facilidade.
No, I don't know many idiots. Except for young Ben there.;Não, não conheço muitos idiotas. Exceto o jovem Ben lá.
'Praefectus Classis Perseriya';'Praefectus Classis Perseriya'
Temple of Light? What's the Temple of Light?;Templo da Luz? O que é o Templo da Luz?
(Player performs Jump for Joy emote.);(O jogador executa o emote Jump for Joy.)
7 Upon killing the dagannoth or talking to Jossik;7 Ao matar o dagannoth ou falar com Jossik
6 Returning to Eadgar with supplies;6 Voltando para Eadgar com suprimentos
Old tablet;Tablet antigo
Oh I'll cook up quite the storm in the afterlife, believe me.;Oh, vou preparar uma grande tempestade na vida após a morte, acredite.
He has doubts.;Ele tem dúvidas.
I'd like to think you wouldn't be carrying bones around.;Eu gostaria de pensar que você não estaria carregando ossos por aí.
What? But I thought the whole point was that it would look like king what's-his-face?;O que? Mas pensei que a questão toda era que pareceria rei, qual é a cara dele?
Yes, yes. Wonderful to see you. Shall we get on with things?;Sim, sim. É maravilhoso ver você. Vamos continuar com as coisas?
